stagenm	birthnm	firstnm	dob	origin	gender
E. Erich Anderson	#	#	#	\Un	M
Harriet Anderson	Anderson	Harriet	#	\Sw	F
Ingrid Anderson	#	#	#	\Un	F
Jean Anderson	Anderson	Jean	1908	\Br	F
John Anderson	Anderson	John	1922	\Am	M
Lindsay Anderson	Anderson	Lindsay	1923	\Br	M
Loni Anderson	Anderson	Loni	1947	\Am	F
Mary Anderson	Anderson	Mary	1920	\Am	F
Melissa Sue Anderson	#	#	#	\Un	F
Richard Anderson	Anderson	Richard	1926	\Am	M
Rona Anderson	Anderson	Rona	1926	\Br; Scots	F
Warner Anderson	Anderson	Warner	1911	\Am	M
Bibi Andersson	Andersson	Bibi	1935	\Sw	F
Harriet Andersson	Andersson	Harriet	1932	\Am	F
Carole Andre	#	#	#	\Un	F
Gabe Andre	#	#	#	\Un	#
Fr\'ed\'ric Andrei	#	#	#	\Un	M
Ursula Andress	Ursula	Andress	1936	\Zw	F
Brian Andrews	#	#	#	\Un	M
Eamonn Andrews	Andrews	\'Eamonn	#	\Ct	M
Harry Andrews	Andrews	Harry	1911	\Br	M
Julie Andrews	Wells	Julia	1934	\Br	F
The Andrews Sisters	Patty, Maxine, Laverne	Andrews	1913	\Am	G
Pier Angeli	Pierangeli	Anna Maria	1932	\It	F
The Hells Angels	#	#	#	\Un	G
Maya Angelou	Angelou	Maya	1929	\Am	F
Ivy Angustain	#	#	#	\Un	F
AnnMargret	Olsson	Ann-Margret	1941	\Sw-\Am	F
Karen Anspach	#	#	#	\Un	F
Susan Anspach	Anspach	Susan	1939	\Am	F
Adam Ant	#	#	#	\Un	M
Lysette Anthony	#	#	#	\Un	F
Michael Anthony	#	#	#	\Un	M
Susan Anton	#	#	#	\Un	F
Laura Antonelli	#	#	#	\Un	F
Lou Antonio	#	#	#	\Un	M
Alfonso Arau	#	#	#	\Un	M
Allan Arbus	#	#	#	\Un	M
Carmen Argenziano	#	#	#	\Un	F
Adam Arkin	#	#	#	\Un	M
David Arkin	#	#	#	\Un	M
Richard Arlen	van Mattemore	Cornelius	1898	\Am	M
Arletty	Bathiat	Leonie	1898	\Fr	F
Curtis Armstrong	#	#	#	\Un	M
R.G. Armstrong	Armstrong	R.G.	1920	\Am	M
Robert Armstrong	Smith	Donald Robert	1890	\Am	M
Todd Armstrong	Armstrong	Todd	1939	\Am	M
Yvonne Arnaud	Arnaud	Yvonne	1892	\Fr	F
Peter Arne	Albrecht	Peter Arne	1920	\Br	M
Jeanetta Arnette	#	#	#	\Un	F
Mark Arnott	#	#	#	\Un	M
Charles Arnt	Arnt	Charles	1908	\Am	M
Rosanna Arquette	#	#	#	\Un	F
George K. Arthur	Brest	G.K.A.	1899	\Br	M
Jean Arthur	Greene	Gladys	1905	\Am	F
Leslie Ash	#	#	#	\Un	#
Peggy Ashcroft	Ashcroft	Dame Peggy	1907	\Br	F
Ren\`ee Asherson	Asherson	Ren	1920	\Br	F
Edward Ashley	Cooper	E.A.	1904	\Br	M
Jennifer Ashley	#	#	#	\Un	F
John Ashley	#	#	#	\Un	M
Gregoire Asian	#	#	#	\Un	#
Luke Askew	Askew	Luke	#	\Am	M
Chuck Aspegren	#	#	#	\Un	M
Armand Assante	#	#	#	\Un	M
Asta	#	#	#	\Un	A
Adele Astaire	#	#	#	\Ct	M
Nils Asther	Asther	Nils	1897	\Sw	M
Patty Duke Astin	Duke Astin	Patty	1946	\Am	F
Gertrude Astor	Astor	Gertrude	1887	\Am	F
Mary Astor	Langehanke	Lucille	1906	\Am	F
William Atherton	Atherton	William	1947	\Am	M
Kiyoshi Atsumi	Tadoroko	Yasuo	1928	\Jp	M
Lionel Atwill	Atwill	Lionel	1885	\Br	M
Kim Atwood	#	#	#	\Un	#
Brigitte Auber	#	#	#	\Un	F
Lenore Aubert	Aubert	Leonore	1913	\Yu	F
Cecile Aubry	Benard	Anne-Jes\`e	1929	\Fr	F
Joss Auckland	#	#	#	\Un	M
Audrey	#	#	#	\Un	#
Mischa Auer	Ounskowsky	Mischa	1905	\Ru	M
John Austin	#	#	#	\Un	M
Daniel Auteuil	Auteuil	Daniel	#	\Fr	M
Luis Avalos	#	#	#	\Un	M
Brian Avery	#	#	#	\Un	M
Margaret Avery	#	#	#	\Un	F
Nina Axelrod	#	#	#	\Un	F
Hoyt Axton	#	#	#	\Un	M
George Ayer	#	#	#	\Un	M
Felix Aylmer	Aylmer Jones	Felix Edward	1889	\Br	M
Agnes Ayres	Hinkle	Agnes	1896	\Am	F
Gregg Ayres	#	#	#	\Un	M
Robert Ayres	Ayres	Robert	1914	\Ca	M
Shabana Azmi	#	#	#	\Un	F
Charles Aznavour	Aznavurjan	Shahnour	1924	\Tu	M
Candy Azzara	#	#	#	\Un	F
Lauren Bacall	Perske	Betty Jean	1924	\Am	F
Pamela Bach	Bach	Pamela	1962	\Am	F
Amitabh Bachchan	bn	fn	1942	#	M
Kevin Bacon	#	#	#	\Un	M
Hermione Baddeley	Baddely	Hermione	#	\Ct	F
Alan Badel	Badel	Alan	1923	\Br	M
Buddy Baer	Baer	Jacob Henry	1915	\Am	M
Harry Baer	#	#	#	\Un	M
Fay Bainter	Bainter	Fay	1892	\Am	F
Scott Baio	Baio	Scott	1961	\Am	M
Blanche Baker	#	#	#	\Un	F
Carrol Baker	Baker	Carrol	1931	\Am	F
Joe Don Baker	Baker	Joe Don	1943	\Am	M
Josephine Baker	Baker	Josephine	1906	\Am	F
Ruby Baker	#	#	#	\Un	F
Stanley Baker	Baker	Sir Stanley	1927	\Br; Welsh	M
Jill Balcon	Balcon	Jill	1925	\Br	F
Rebecca Balding	#	#	#	\Un	F
Adam Baldwin	#	#	#	\Un	M
Alec Baldwin	Baldwin	Alec	#	#	M
Daniel Baldwin	Baldwin	Daniel	#	\Am	M
Stephen Baldwin	Baldwin	Stephen	1963	\Am	M
William Baldwin	Baldwin	William (Billy)	1963	\Am	M
Vincent Ball	Ball	Vincent	#	\Au	M
Martin Balsam	Balsam	Martin	1919	\Am	M
Anne Bancroft	Italiano	Anna Maria	1931	\Un	F
Antonio Banderas	#	#	#	\Un	M
Victor Banerjee	#	#	#	\Un	M
Donatas Banionis	#	#	#	\Un	M
Alex Bank	#	#	#	\Un	M
Tallulah Bankhead	Bankhead	Tallulah	1902	\Am	F
Aaron Banks	#	#	#	\Un	M
Leslie Banks	Banks	Leslie	1890	\Br	M
Vilma Banky	Lonchit	Vilma	1902	\Os-\Hu	F
Theda Bara	Goodman	Theodosia	1890	\Am	F
Olga Baraclanova	#	#	#	\Un	F
Christine Baranski	#	#	#	\Un	F
Vanna Barba	Barba	Vanna	1967	\Gr	F
Joyce Barbour	#	#	#	\Un	F
Brigitte Bardot	Javal	Camille	1933	\Fr	F
Mijanou Bardot	Javal	Mijanou	#	\Fr	F
Sonny Barger	#	#	#	\Un	M
Lynn Bari	Fisher	Marjorie	1915	\Am	F
Ronnie Barker	Barker	Ronnie	1929	\Br	M
Ellen Barkin	Barkin	Ellen	1954	\Am	F
Marcie Barkin	#	#	#	\Un	F
Jake Barnes	#	#	#	\Un	M
Julian Barnes	#	#	#	\Un	M
Priscilla Barnes	#	#	#	\Un	F
Charlie Barnett	#	#	#	\Un	M
Nella Barnier	#	#	#	\Un	F
Sandy Baron	#	#	#	\Un	#
Pierre Barouh	#	#	#	\Un	M
Maria Barranco	#	#	#	\Un	F
JeanLouis Barrault	Barrault	Jean-Louis	1910	\Fr	M
MarieChristine Barrault	Barrault	Marie-Christine	1944	\Fr	F
Edith Barrett	Williams	Edith	1907	\Am	F
Barbara Barrie	Barrie	Barbara	#	\Am	F
Edgar Barrier	Barrier	Edgar	1906	\Am	M
Maurice Barrier	#	#	#	\Fr	M
George Barris	#	#	#	\Un	M
Gene Barry	Klass	Eugene	1921	\Am	M
Diane Barrymore	Barrymore Blythe	Diane Blanche	1921	\Am	F
Ethel Barrymore	Blythe	Edith Mae	1879	\Am	F
John Barrymore~jr.	Blythe Barrymore	John Drew	1932	\Am	M
John Barrymore~III	#	#	#	\Un	M
Doris Rankin	Rankin	Doris	#	\Am	F
Irine Fenwick	Fenwick	Irene	1936	\Am	F
Maurice Barrymore	Blythe	Herbert	#	\Am	M
Georgiana Drew	Blythe	Herbert	#	\Am	M
Paul Bartels	Bartels	Paul	1940	\Am	M
Eddie Barth	#	#	#	\Un	M
Richard Barthelmess	Barthelmess	Richard	1895	\Am	M
Freddie Bartholomew	Llewellyn	Frederick	1924	\Ir	M
Eve Bartok	Sj\"oke	Eva	1926	\Hu	F
Richard Basehart	Basehart	Richard	1915	\Am	M
Tony Basil	#	#	#	\Un	M
Kim Basinger	Basinger	Kim	1953	\Am	F
Richard Baskin	Baskin	Richard	#	\Un	M
Alfie Bass	Bass	Alfie	#	\Ct	M
Albert Basserman	Basserman	Albert	1867	\Ge	M
Steve Bassett	#	#	#	\Un	M
Alan Bates	Bates	Alan	1934	\Br	M
Barbara Bates	#	#	#	\Un	F
Kathy Bates	Bates	Kathy	1958	\Am	F
Michael Bates	Bates	Michael	1920	\Br	M
Steven Bauer	#	#	#	\Un	M
Anne Baxter	Baxter	Ann	1923	\Am	F
Sarah Bay	Neri	Rosalba	#	\It	F
Nathalie Baye	Baye	Nathalie	#	\Un	F
Gary Bayer	#	#	#	\Un	M
Jennifer Beals	#	#	#	\Un	F
The Beatles	The Beatles	#	1940	\Br	G
Warren Beatty	Beaty	Warren	1937	\Am	M
John C. Becher	#	#	#	\Un	M
Kimberly Beck	#	#	#	\Un	F
Stanley Beck	#	#	#	\Un	M
Barry Beckerman	#	#	#	\Un	M
Scotty Beckett	Beckett	Scotty	1929	\Am	M
Molly Bee	#	#	#	\Un	F
Noah Beery	Beery	Noah	1884	\Am	M
Wallace Beery	Beery	Wallace	1880	\Am	M
Hagan Beggs	#	#	#	\Un	M
Charles Belcher	#	#	#	\Un	M
Barbara BelGeddes	Lewis	Barbara Geddes	#	\Am	F
Ralph Bellamy	Bellamy	Ralph	1904	\Am	M
Agostina Belli	#	#	#	\Un	M
Olga Bellin	#	#	#	\Un	F
Belmonts	#	#	#	\Un	#
Lionel Belmore	Belmore	Lionel	1867	\Br	M
Richard Beltran	#	#	#	\Un	M
Robert Beltran	#	#	#	\Un	M
Jim Belushi	#	#	#	\Un	M
John Belushi	Belushi	John	1949	\Am	M
Richard Belzer	#	#	#	\Un	M
Brian Benben	#	#	#	\Un	M
William Bendix	Bendix	William	1906	\Am	M
Paul Benedict	#	#	#	\Un	M
Annette Bening	Bening	Annette	#	\Am	F
Alma Bennett	Bennett	Belle	1889	\Am	F
Barbara Bennett	Bennett	Barbara	1902	\Am	F
Belle Bennett	Bennett	Belle	1891	\Am	F
Constance Bennett	Bennett	Constance	1904	\Am	F
Joe Bennett	#	#	#	\Un	M
John Bennett	Bennett	John	1928	\Br	M
Jack Benny	Kubelsky	Benjamin	1894	\Am	M
Martin Benson	Benson	Martin	1918	\Br	M
Barbi Benton	#	#	#	#	F
Susanne Benton	#	#	#	\Un	F
Iris Berben	#	#	#	\Un	F
Judith-Marie Bergan	#	#	#	\Un	F
Candice Bergen	Bergen	Candice	1946	\Am	F
Polly Bergen	Burgin	Nellie	1929	\Am	F
William Bergen	#	#	#	\Un	M
Helmut Berger	Steinberger	Helmut	1944	\Os	M
Katya Berger	#	#	#	\Un	F
Sidney Berger	#	#	1962	\Un	M
William Berger	#	#	#	\Un	M
Harold Bergman	#	#	#	\Un	M
Henry Bergman	#	#	#	\Un	M
Sandahl Bergman	#	#	#	\Un	#
Tracy Bergman	#	#	#	\Un	#
Thommy Bergren	#	#	#	\Un	M
Steven Berkoff	#	#	#	\Un	M
Irving Berlin	Baline	Israel	1888	\Am	M
Jennie Berlin	Berlin	Jean	#	\Am	F
Susan Berman	#	#	#	\Un	F
Jason Bernhard	#	#	#	\Un	M
Elizabeth Berridge	#	#	#	\Un	F
Phillip Berrigan	#	#	#	\Un	M
Chuck Berry	#	#	#	\Un	M
Jules Berry	Paufichet	Jules	1883	\Fr	M
Michael Berryman	#	#	#	\Un	M
Bibi Besch	#	#	#	\Un	F
Barbara Bestar	#	#	#	\Un	F
Jack Beutel	#	#	#	\Un	M
Turhan Bey	Bey	Turhan	#	\Ct	M
Charles Bickford	Bickford	Charles	1889	\Am	M
Michael Biehn	#	#	#	\Un	M
Ramon Bieri	#	#	#	\Un	M
Peter Billingsley	#	#	#	\Un	M
Herman Bing	Bing	Herman	1889	\Ge	M
Geoff Binney	#	#	#	\Un	M
Edward Binns	Binns	Edward	#	\Am	M
Brad Bird	#	#	#	\Un	M
Norman Bird	Bird	Norman	1920	\Br	M
Jennifer Bishop	#	#	#	\Un	F
Pat Bishop	#	#	#	\Un	#
Bonnie Bittner	#	#	#	\Un	F
Honor Blackman	Blackman	Honor	1926	\Br	F
Sidney Blackmer	Blackmer	Sidney	1895	\Am	M
Vivian Blaine	Stapleton	Vivienne	1921	\Am	F
Betsy Blair	Boger	Elizabeth	1923	\Am	F
Janet Blair	Lafferty	Martha	1921	\Am	F
Linda Blair	Blair	Linda	1959	\Am	F
Amanda Blake	Blake	Amanda	#	\Ct	F
Jon Blake	#	#	#	\Un	M
Mary Blake	McDonald	Blossom	1896	\Am	F
Robert Blake	Gubitosi	Michael (Bobby)	1933	\Am	M
Whitney Blake	Blake	Whitney	#	\Ct	F
Colin Blakely	Blakely	Colin	1930	\Br	M
Ronee Blakley	Blakley	Ronee	1946	\Am	F
Michel Blanc	Blanc	Michel	#	\Fr	M
Alan Blanchard	#	#	#	\Un	M
Pierre Blanchard	#	#	#	\Un	M
Clara Blandick	Blandick	Clara	1880	\Am	F
Mark Blankfield	#	#	#	\Un	M
Roger Blay	#	#	#	\Un	M
Debra Blee	#	#	#	\Un	F
Bernard Blier	Blier	Bernard	1916	\Ar-\Fr	M
Michael Blodgett	#	#	#	\Un	M
Eric Blore	Blore	Eric	1887	\Br	M
John Blythe	Blythe	John	1921	\Br	M
Eleanor Boardman	Boardman	Eleanor	1898	\Am	F
Hart Bochner	#	#	#	\Un	M
Paul Boensh~III	#	#	#	\Un	M
Humphrey Bogart	Bogart	\FN{Humphrey DeForest	1899	\Am	M
Richard Bohringer	#	#	#	\Un	M
Ray Bolger	Bolger	Ray	1904	\Am	M
Joseph Bologna	Bologna	Joseph	1938	\Am	M
Sudie Bond	#	#	#	\Un	F
Natalya Bondartchuk	#	#	#	\Un	F
Sergei Bondartchuk	Bondartchuk	Sergei	1920	\Ru	M
Beulah Bondi	Bondy	Beulah	1889	\Am	F
Peter Bonerz	#	#	#	\Un	M
Sandrine Bonnaire	Bonnaire	Sandrine	1967	\Fr	F
Beverly Bonner	#	#	#	\Un	F
Val\'erie Bonnier	#	#	#	\Un	F
John Boorman	Boorman	John	1933	\Br	M
Connie Booth	#	#	#	\Un	F
Powers Boothe	Boothe	Powers	#	\Am	M
Paola Borboni	#	#	#	\Un	F
Matt Borel	#	#	#	\Un	M
Dirk Borgarde	#	#	#	\Un	M
Nelly Borgeaud	#	#	#	\Un	F
Tom Bosley	Bosley	Tom	1927	\Am	M
Barry Bostwick	Bostwick	Barry	1946	\Am	M
Benjamin Bottoms	#	#	#	\Un	M
Daniel Boulanger	#	#	#	\Un	M
Mathew Boulton	#	#	#	\Un	M
Carole Bouquet	#	#	#	\Un	F
Charon Bourke	#	#	#	\Un	#
Phillip Bourneuf	Bourneuf	Phillip	1912	\Am	M
Julie Bovasso	#	#	#	\Un	F
Tony Bova	#	#	#	\Un	M
Elizabeth Bowen	#	#	#	\Un	F
Roger Bowen	#	#	#	\Un	M
Malick Bowes	#	#	#	\Un	M
Dorothy Boyd	#	#	#	\Un	F
Guy Boyd	#	#	#	\Un	M
Charles Boyer	Boyer	Charles	1899	\Fr	M
Peter Boyle	Boyle	Peter	1933	\Am	M
The Bowery Boys	#	#	1942	\Am	G
Jean Bradin	#	#	#	\Un	M
Terry Bradshaw	#	#	#	\Un	#
Rob Brady	#	#	#	\Un	M
Scott Brady	Tierney	Gerald	1924	#	M
Sonia Braga	Braga	Sonia	#	\Br	F
Kenneth Branagh	Branagh	Kenneth	1960	\Un	M
Miriam Brickman	Brickman	Miriam	#	\GB	F
Neville Brand	Brand	Neville	1921	\Am	M
Claude Brasseur	Brasseur	Claude	1936	\Fr	M
Larry Breeding	#	#	#	\Un	M
Hanna Brejchova	#	#	#	\Un	F
George Brent	Nolan	George Brent	1904	\Ir	M
Timothy Brent	#	#	#	\Un	M
JeanClaude Brialy	Brialy	Jarn-ClaudeGn	#	\Fr	M
David Brian	Brian	David	1914	\Am	M
Fanny Brice	Borach	Fanny	1891	\Am	F
Bricktop	bn	gn	#	\Ct	M
Lloyd Bridges	Bridges	Lloyd	1913	\Am	M
Wilford Brimley	Brimley	A. Wilford	#	\Un	M
Tony Britton	Britton	Tony	1925	\Br	M
Peter Brocco	#	#	#	\Un	M
Phil Brock	#	#	#	\Un	M
Gary Brockette	#	#	#	\Un	M
Helen Broderick	Broderick	Helen	1890	\Am	F
James Broderick	Broderick	James	1927	\Am	M
Steve Brodie	Stevens	John	1919	\Am	M
Estelle Brody	Brody	Estelle	1905	\Am	F
J.~Edward Bromberg	Bromberg	J.~Edward	1903	\Hu	M
John Bromfield	Bromfield	John	1922	\Am	M
Charles Bronson	Buchinski	Charles	1922	\Am	M
Clive Brook	Brook	Clifford	1887	\Br	M
Faith Brook	Brook	Faith	1922	\Br	F
Hillary Brooke	Peterson	Beatrice	1914	\Am	F
Elisabeth Brooks	#	#	#	\Un	F
Hildy Brooks	#	#	#	\Un	F
James L. Brooks	Brooks	James L.	#	\Un	M
Louise Brooks	#	#	#	\Ct	F
Mel Brooks	Kaminsky	Melvin	1926	\Am	M
Pierce Brosnan	#	#	1952	#	M
Antonia Brough	#	#	#	\Un	F
Bruce Brown	#	#	#	\Un	M
Eric Brown	#	#	#	\Un	M
Foxy Brown	Brown	Juanita	#	\Un	F
Gary Brown	#	#	#	\Un	M
Gaye Brown	#	#	#	\Un	F
James Brown	Brown	James	1920	\Am	M
Janet Brown	#	#	#	\Un	F
Ken Brown	#	#	#	\Un	M
Lou Brown	#	#	#	\Un	M
Peter Brown	#	#	#	\Un	M
Reb Brown	#	#	#	\Un	M
Roger Aaron Brown	#	#	#	\Un	M
Coral Browne	Browne	Coral	1913	\Au	F
Lenny Bruce	#	#	#	\Un	M
Nigel Bruce	Nigel	Bruce	1895	\Br	M
Nadja Brunkhorst	#	#	#	\Un	F
Phil Bruns	#	#	#	\Un	M
Dora Bryan	Broadbent	Dora	1923	\Br	F
Jane Bryan	O'Brien	Jane	1918	\Am	F
Michael Bryant	Bryant	Michael	1928	\Br	M
Pamela Bryant	#	#	#	\Un	F
John Buchan	Buchan	John	#	\Br	M
Horst Buchholz	Buchholz	Horst	1933	\Ge	M
Betty Buckley	#	#	#	\Un	F
John Buckwalter	#	#	#	\Un	M
Raymond Buktencia	#	#	#	\Un	M
Jeremy Bulloch	#	#	#	\Un	M
Sandra Bullock	Bullock	Sandra	1967	\Am	F
Avis Bunnage	Bunnage	Avis	#	\Ct	M
Robert Bur	#	#	#	\Un	M
Valerie Burdinelli	Valerie	Burdinelli	1960	\Am	F
Eric Burdon	#	#	#	\Un	M
Scott Burgess	#	#	#	\Un	M
Gary Burghoff	#	#	#	\Un	M
Paul Burke	Burke	Paul	1926	\Am	M
Dennis Burkley	#	#	#	\Un	M
Tom Burlinson	#	#	#	\Un	M
George Burns	Birnbaum	Nathan	1896	\Am	M
Marilyn Burns	#	#	#	\Un	F
Stephan W. Burns	#	#	#	\Un	M
Tim Burns	#	#	#	\Un	M
Terri Burrell	#	#	#	\Un	F
Jackie Burroughs	#	#	#	\Un	F
Bill Burrows	#	#	#	\Un	M
Jeff Burton	#	#	#	\Un	M
Kate Burton	Burton	Kate	1958	\Un	F
Robert Butler	Butler	Robert	#	\Am	M
William Butler	#	#	#	\Un	M
Yancy Butler	Butler	Yancy	#	#	F
Charles Butterworth	Butterworth	Charles	1896	\Am	M
Red Buttons	Chwatt	Aaron	1918	\Am	M
John Byner	#	#	#	\Un	M
Ralph Byrd	Byrd	Ralph	1909	\Am	M
Tom Byrd	#	#	#	\Un	M
Anne Byrne	#	#	#	\Un	F
Martha Byrne	#	#	#	\Un	F
Sebastian Cabot	Cabot	Sebastian	1918	\Br	M
Jean Cadell	Cadell	Jean	1884	\Br(Sc)	F
Cheri Caffaro	#	#	#	\Un	F
Jeanne Cagney	Cagney	Jean	1919	\Am	F
William Cagney	Cagney	William	#	\Am	M
Shakira Caine	#	#	#	\Un	F
Louis Calhern	Vogt	Carl	1895	\Am	M
Rory Calhoun	Durgin	Frances Timothy	1922	\Am	M
Joseph Cali	#	#	#	\Un	M
Maria Callas	Kalogeropolos	Maria	1923	\Gr-\Am	F
Joseph Calleia	Spurin-Calleia	Joseph	1897	Maltese	M
Simon Callow	#	#	#	\Un	M
Donald Calthrop	Calthrop	Donald	1888	\Br	M
Corinne Calvet	Dibos	Corinne	1925	\Fr	F
Henry Calvin	Calvin Goodman jr.	Wimberly	1918	\Am	M
Rod Cameron	Cox	Nathan	1910	\Ca	M
Coleen Camp	#	#	#	\Un	F
Hamilton Camp	#	#	#	\Un	M
Rosemary Camp	#	#	1913	\Un	F
Frank Campanella	#	#	#	\Un	M
Joseph Campanella	Campanella	Joseph	1927	\Am	M
Bill Campbell	Campbell	William O.	#	\Am	M
Cheryl Campbell	#	#	#	\Un	F
Colin Campbell	Campbell	Colin	1937	\Br	M
Daisy Campbell	#	#	#	\Un	F
Glen Campbell	Campbell	Glen	1935	\Am	M
William Campbell	Campbell	William	1926	\Am	M
James Canning	#	#	#	\Un	M
Freedy Cannon	#	#	#	\Un	M
Kathy Cannon	#	#	#	\Un	F
Cantilene	Cantil\`ene	#	#	\Fr	#
Eddie Cantor	Itskowitz	Edward Israel	1892	#	M
Truman Capote	Capote	Truman	1925	\Am	M
Ahna Capri	#	#	#	\Un	F
Kate Capshaw	#	#	#	\Un	F
Irene Cara	#	#	#	\Un	F
Richard Cardella	#	#	#	\Un	M
Pat Cardi	#	#	#	\Un	#
Arthur Carewe	#	#	#	\Un	M
Joyce Carey	Lawrence	Joyce	1898	\Br	F
MacDonald Carey	Carey	MacDonald	1913	\Am	M
Phil Carey	Carey	Philip	1925	\Am	M
Ron Carey	#	#	#	\Un	M
Tim Carhart	#	#	#	\Un	M
Leo Carillo	#	#	#	\Un	M
George Carlin	#	#	#	\Un	M
Anne Carlisle	#	#	#	\Un	F
Johanna Carlo	#	#	#	\Un	F
Charles Carlson	#	#	#	\Un	M
Karen Carlson	#	#	#	\Un	F
Moose Carlson	#	#	#	\Un	M
Ingmari Carlssen	#	#	#	\Un	F
Pamela Carme	#	#	#	\Un	F
Julie Carmen	#	#	#	\Un	F
Hoagy Carmichael	Carmichael	Hoagland Howard	1899	\Am	M
Ian Carmichael	Carmichael	Ian	1920	\Br	M
Tullio Carminati	Carminati de Brambilla	Count Tullio	1894	\It	M
Judy Carne	Carne	Judy	1939	\Br	F
Angela Carnon	#	#	#	\Un	F
Martine Carol	Mourer	Maryse	1922	\Fr	F
Leslie Caron	Caron	Leslie	1931	\Fr	F
Horace Carpenter	#	#	#	\Un	M
Linda Carpenter	#	#	#	\Un	F
Carpin	#	#	#	\Un	#
Carol Carr	#	#	#	\Un	F
Paul Carr	#	#	#	\Un	M
Bruce Carradine	#	#	#	\Un	M
Barbara Carrera	Carrera	Barbara	1945	\Am	F
Jim Carrey	Carrey	Jim	#	#	M
Matthew Carriere	#	#	#	\Un	M
Pat Carrol	#	#	#	\Un	#
Regina Carrol	#	#	#	\Un	F
Madeleine Carroll	O'Carrol	\FN{Marie Madelaine Bernadette	1906	\Br	F
Kit Carson	#	#	#	\Am	M
Helena Bonham Carter	Carter	Helena (Helly) Bonham	1966	\Br	F
Jim Carter	#	#	#	\Un	M
Lydia Carter	#	#	#	\Un	F
Lynda Carter	#	#	#	\Un	F
T.K. Carter	#	#	#	\Un	M
JeanPierre Castaldi	#	#	#	\Un	M
Kim Cattrall	#	#	#	\Un	F
Olimpia Cavalli	#	#	#	\Un	F
Paul Cavanagh	Cavanagh	Paul	1895	\Br	M
Christopher Cazenove	#	#	#	\Un	M
Adolfo Celi	Celi	Adolfo	1922	\It	M
Gino Cervi	Cervi	Gino	1901	\It	M
Renzo Cesana	#	#	#	\Un	M
June Chadwick	#	#	#	\Un	F
