filmid	title	actor
ALv101	T:The Return of Verge Likens	Peter Fonda
AlW40	T:The House of Rothschild	Loretta Young
AlW40	T:The House of Rothschild	Boris Karloff
AlW40	T:The House of Rothschild	Alan Mowbray
AlW60	T:The Adventures of Sherlock Holmes	Basil Rathbone
AlW60	T:The Adventures of Sherlock Holmes	Alan Marshall
AlZ5	T:Sex Kittens go to College	Mijanou Bardot
AlZ5	T:Sex Kittens go to College	Mickey Shaughnessy
AlZ5	T:Sex Kittens go to College	Louis Nye
AM12	T:Ever in My Heart	Barbara Stanwyk
AM12	T:Ever in My Heart	Ralph Bellamy
AM18	T:The Petrified Forest	Bette Davis
AM18	T:The Petrified Forest	Porter Hall
AM18	T:The Petrified Forest	Paul Harvey
AML1	T:The Incredible Two-headed Monster	Pat Priest
ARw12	T:Somebody to Love	Anthony Quinn
ARw12	T:Somebody to Love	Quentin Tarantion
ASj15	T:Frenzy	Mai Zettering
BaL1	T:Strictly Ballroom	Peter Whitford
BaP10	T:Cool Breeze	Raymond StJacques
BaP10	T:Cool Breeze	Lincoln Kirkpatrick
BaS10	T:Sing, Bing, Sing	Bing Crosby
BB5	T:The Spider's Stratagem	Alida Valli
BB5	T:The Spider's Stratagem	Pino Campaninin
BB6	T:Il Conformista	Pierre Clementi
BB7	T:Last Tango in Paris	Maria Schneider
BB7	T:Last Tango in Paris	Massimo Girotti
BB7	T:Last Tango in Paris	Maria Michi
BB8	T:Novecento	Alida Valli
BB8	T:Novecento	M. Valli
BB9	T:Luna	Matthew Barry
BB10	T:Tragedy of a Ridiculous Man	Anouk Aimee
BB11	T:The Last Emperor	Peter OToole
BBe19	T:Babes on Broadway	Ray McDonald
BBe21	T:The Gang's All Here	Benny Goodman
BBe21	T:The Gang's All Here	Lillian Yarbo
BBe21	T:The Gang's All Here	Miriam Lavelle
BBe23	T:Take Me Out To The Ball Game	Betty Garrett
BBi10	TZ:North Avenue Irregulars	Barbara Harris
BBi10	T:North Avenue Irregulars	Michael Constantine
BBi10	T:North Avenue Irregulars	Patsy Kelly
BBi10	T:North Avenue Irregulars	Alan Hale~jr
BBl1	T:Breakdown	Bernard Blier
BBT10	T:All The Pretty Horses	Matt Damon
BCl4	T:Murder by Decree	Anthony Quayle
BCl10	TZ:A Christmas Story	Peter Billingsley
BCl10	TZ:A Christmas Story	Melinda Dillon
BCr10	T:Mr.~Saturday Night	Billy Crystal
BCr10	T:Mr.~Saturday Night	Mary Maya
BDC8	TZ:Galaxy of Terror	Ray Walston
BDH10	T:The Tenth Man	Aileen Marson
BDH30	T:Scrooge	Mervyn Johns
BDn2	T:Escape	Madeleine Carroll
BDn7	T:The Constant Nymph	Lyn Harding
BDn7	T:The Constant Nymph	Mary Clare
BDn13	T:Lorna Doone	Margaret Lockwood
BdP2	T:Hi, Mom!	Allan Garfield
BdP10	T:Phantom of the Paradise	Paul Williams
BdP11	T:Obsession	Patrick McNamara
BdP12	T:Carrie	Amy Irving
BdP12	T:Carrie	Nancy Allen
BdP14	T:Dressed to Kill	Angie Dickinson
BdP15	T:Blow Out	Nancy Allen
BdP16	T:Scarface	Mary Elizabeth Mastrantonio
BdP16	T:Scarface	Miriam Colon
BdP17	T:Body Double	Barbara Peckinpah
BdP18	T:Wise Guys	Ray Sharkey
BdP25	T:Raising Cain	Barton Heyman
BdP26	T:Carlito's Way	Penelope Ann Miller
BDu2	T:A Rage in Harlem	Badja Djola
BDu3	T:The Cemetery Club	Olympia Dukakis
BDu4	T:Sister Act 2	Brad Sullivan
BdY4	T:Inspector Clouseau	Patrick Cargill
BdY4	T:Inspector Clouseau	Beryl Reid
BdY4	T:Inspector Clouseau	Barry Foster
BdY6	T:The Thief Who Came to Dinner	Austin Pendleton
BE16	T:The Party	Peter Sellers
BE16	T:The Party	Marge Champion
BE19	TZ:Tamarind Seed	Omar Sharif
BE20	T:The Return of the Pink Panther	Peter Sellers
BE34	T:Victor/Victoria	Alex Karras
BE34	T:Victor/Victoria	Peter Arne
BE34	T:Victor/Victoria	Malcolm Jamieson
BE35	T:Trail of the Pink Panther	Peter Sellers
BeG10	TZ:Mahogany	Billy Dee Williams
BeH1	T:The Scoundrel	Noel Coward
BeH1	T:The Scoundrel	Alexander Wolcott
BeM10	T:Batman, Mask of The Phantasm	Mark Hamill
BF6	T:Cabaret	Michael York
BFo13	T:The Slipper and The Rose	Margaret Lockwood
BGi19	T:Blood Bargain	Ricard long
BGi19	T:Blood Bargain	Anne Francis
BGi21	T:Water's Edge	Ann Sothern
BHo10	T:Raggedy Rawney	Zoe Nathanson
BHu10	T:Forces of Nature	Maura Tierney
BHu10	T:Forces of Nature	Blythe Danner
BHu10	T:Forces of Nature	Meredith Scott Lynn
BiA5	T:The Best Intentions	Pernilla Ostergren
BiA5	T:The Best Intentions	Max vonSydow
BiA7	T:The House of Spirits	Armin MuellerStahl
BiA9	T:Jerusalem	Marie Bonnevie
BiF13	T:Local Hero	Peter Riegert
BiF13	T:Local Hero	Peter Capaldi
BiF20	T:Being Human	Anna Galiena
BIG10	TZ:The Mad Bomber	Neville Brand
BiK10	T:Ma Barker's Killer Brood	Myrna Dell
BiK10	T:Ma Barker's Killer Brood	Nelson Leigh
BiP10	TZ:Serial	Martin Mull
BiP10	TZ:Serial	Bill Macy
BJR10	T:My Life	Michael Keaton
BJR10	T:My Life	Michael Constantine
BKo10	T:Krakatoa, East of Java	Maximilian Schell
BKo10	T:Krakatoa, East of Java	Barbara Werle
BKo10	T:Krakatoa, East of Java	Marc Lawrence
BLe1	TZ:Diner	Mickey Rourke
BLe1	T:Diner	Paul Reiser
BLe4	TZ:The Natural	Barbara Hershey
BLe5	T:Tin Men	Richard Dreyfuss
BLe10	T:Avalon	Aidan Quinn
BLe10	T:Avalon	Lou Jacobi
BLe21	T:Wag the Dog	Rene Leahy
BLe22	T:Sphere	Peter Coyote
BLu10	T:Jam\'on, Jam\'on	Penelope Cruz
BLu12	T:Macho	Marbel Verdu
BLu12	T:Macho	Maria deMederios
BLw10	T:The Favor, the Watch, and the Very Big Fish	Bob Hoskins
BLw10	T:The Favor, the Watch, and the Very Big Fish	Michel Blanc
BMa10	TZ:Nighthawks	Lindsay Wagner
BMa10	TZ:Nighthawks	Billy Dee Williams
BMa10	TZ:Nighthawks	Persis Khambatta
BMa10	TZ:Nighthawks	Nigel Davenport
BMo10	T:The Puerto Rican Mambo (not a Musical)	Ben Model
BMo10	T:The Puerto Rican Mambo (not a Musical)	Luis Caballero
BnG12	T:Sweet Poison	Patricia Healey
BnM10	T:Nickle and Dime	Lise Cutter
BNu1	T:Camille Claudel	Alain Cuny
BNu1	T:Camille Claudel	Phillippe Clevenot
BNu1	T:Camille Claudel	Maxime Leroux
BoL10	T:Meatballs 4	Bojesse Christopher
BoS80	T:Rich Man, Poor Man	Peter Strauss
BoW6	T:Joe Hill	Anja Schmidt
BPr10	T:Anna Karenina	Alfred Molina
BRa10	T:Money Talks	Paul Sorvino
BRB3	T:Don's Party	Ray Barrett
BRB3	TZ:Don's Party	Pat Bishop
BrB10	T:Tender Mercies	Betty Buckley
BrB10	T:Tender Mercies	Allan Hubbard
BrB10	T:Tender Mercies	Paul Gleason
BrB15	T:Barry McKenzie On His Own	Barry Humphries
BrB15	T:Barry McKenzie On His Own	Barry Crocker
BrB20	T:Driving Miss Daisy	Morgan Freeman
BrB20	T:Driving Miss Daisy	Patty Luponi
BrB21	T:Mister Johnson	Pierce Brosnan
BrB21	T:Mister Johnson	Beartie Edney
BRf1	T:Five Easy Pieces	Ralph Waite
BRf1	T:Five Easy Pieces	Marlena McGuire
BRf4	T:Stay Hungry	Arnold Schwarzenegger
BRf4	T:Stay Hungry	R.G. Armstrong
BRf20	T:The Postman Always Ring Twice	Michael Lerner
BRf20	T:The Postman Always Ring Twice	Anjelica Huston
BRf30	T:Mountains of the Moon	Paul Onsongo
BRf32	T:Man Trouble	Beverly DAngelo
BRf34	T:Wet	Arliss Howard
BrG10	T:Poltergeist II	Oliver Robbins
BrG25	T:What's Love Got To Do With It	Pam Tyson
BrG28	T:The Juror	Lindsay Crouse
BrL15	T:Hideaway	Alicia Silverstone
BrL15	T:Hideaway	Alfred Molins
BRo10	T:Jennifer 8	Andy Garcia
BrR1	T:Outremer	Marianne Basler
BrR1	T:Outremer	Philippe Galland
BrW5	T:June Bride	Bette Davis
BrW5	T:June Bride	Betty Lynn
BrW5	T:June Bride	Barbara Bates
BrW10	T:The Enforcer	Zero Mostel
BrW13	T:Casino Royale	Barry Nelson
BrW13	T:Casino Royale	Linda Christian
BrW100	T:The Avon Emeralds	Barry Harvey
BrW100	T:The Avon Emeralds	Ralph Clanton
BSc11	T:Koko, the Talking Gorilla	Penny Peterson
BSc25	T:Reversal of Fortune	Annabella Sciora
BSc40	T:Before and After	Alfred Molina
BSe10	T:Dial M for Murder	Angie Dickinson
BSe20	T:Night Gallery	Walter Matthau
BsK14	T:The Boat	n Buster Keaton
BsK37	T:Our Hospitality	Natalie Talmadge
BsK39	T:The Three Ages	Margaret Leahy
BsK40	T:The Navigator	Noble Johnson
BSo1	T:The Addams Family	Anjelica Huston
BSo4	T:For Love or Money	Michael Tucker
BSo5	T:Addams' Family Values	Anjelica Huston
BSo6	T:For Love or Money	Michael J. Fox
BSo8	T:Get Shorty	Martin W.
BSo8	T:Get Shorty	Martin Ferraro
BSt1	TZ:Yentl	Amy Irving
BSt1	T:Yentl	Barbra Streisand
BSt1	TZ:Yentl	Nehemiah Persoff
BSt1	TZ:Yentl	Mandy Patinkin
BSt5	T:Prince of Tides	Melinda Dillon
BSt15	T:The Mirror Has Two Faces	Mimi Roger
BSt15	T:The Mirror Has Two Faces	Pierre Brosnan
BtB7	T:Buffet Froid	Bernard Blier
BtB29	T:Une, deux, trois, soleil	Marcello Mastroianni
BtB29	T:Une, deux, trois, soleil	Anouk Grinberg
BTh10	T:The Brady Bunch Movie	Olivia Hack
BtK10	T:None so Blind	Maurice Costello
BTv22	T:La Vie et Rien d'Autre	Philippe Noiret
BTv22	T:La Vie et Rien d'Autre	Pascale Vignal
BuG10	T:Blade O'Grass	Pat OMalley
BuH15	TZ:First Family	Madeline Kahn
BuH15	TZ:First Family	Richard Benjamin
BuK10	TZ:Support Your Local Sheriff	Walter Brennan
BuR14	TZ:The End	Norman Fell
BuR14	TZ:The End	Pat OBrien
BuR14	TZ:The End	Myrna Loy
BuR20	TZ:Sharky's Machine	Rachel Ward
BuR25	T:Cop and a Half	Ray Sharkey
BVi12	T:The Man from Yesterday	Andy Devine
BVi12	T:The Man from Yesterday	Alan Mowbray
BW3	T:Five Graves to Cairo	Anne Baxter
BW3	T:Five Graves to Cairo	Peter vanEyck
BW3	T:Five Graves to Cairo	Akim Tamiroff
BW3	T:Five Graves to Cairo	Miles Mander
BW4	T:Double Indemnity	Porter Hall
BW5	T:The Lost Weekend	Ray Milland
BW5	T:The Lost Weekend	Philip Terry
BW7	T:A Foreign Affair	Marlene Dietrich
BW7	T:A Foreign Affair	Millard Mitchell
BW8	T:Sunset Boulevard	Nancy Olson
BW9	T:The Big Carnival	Porter Hall
BW9	T:The Big Carnival	Richard Benedict
BW9	T:The Big Carnival	Bob Arthur
BW9	T:The Big Carnival	Richard Benedict
BW10	T:Stalag 17	Peter Graves
BW10	T:Stalag 17	Otto Preminger
BW10	TZ:Stalag 17	Neville Brand
BW11	T:Sabrina	Martha Hyer
BW11	T:Sabrina	Marcel Dalio
BW12	T:The Seven Year Itch	Oscar Homolka
BW14	T:Love In The Afternoon	Maurice Chevalier
BW16	T:Some Like It Hot	Marilyn Monroe
BW16	T:Some Like It Hot	Pat OBrien
BW16	T:Some Like It Hot	Nehemiah Persoff
BW16	T:Some Like It Hot	Mike Mazurki
BW17	T:The Apartment	Ray Walston
BW18	T:One, Two, Three	Arlene Francis
BW18	T:One, Two, Three	Pamela Tiffin
BW19	T:Irma la Douce	Lou Jacobi
BW30	T:Buddy Buddy	Paula Prentiss
ByB10	T:Fords on Water	Mark Wingett
ByH5	T:I Walk Alone	Marc Lawrence
ByH5	T:I Walk Alone	Mike Mazrrki
ByH8	T:Treasure Island	Bobby Driscoll
ByH8	T:Treasure Island	Basil Sydney
ByH8	T:Treasure Island	Walter Fitzgerald
ByH8	T:Treasure Island	Ralph Truman
ByH10	T:Tarzan's Peril	Alan Napier
ByH13	TZ:War of the Worlds	Ann Robinson
ByH13	T:War of the Worlds	Bob Cornthwaite
ByH26	T:Robinson Crusoe on Mars	Paul Mantee
ByP10	T:Mistress	Martin Landau
BzK8	T:Riot	Ben Carruthers
BzK8	T:Riot	Mike Kellin
BzK10	TZ:Brian's Song	Billy Dee Williams
BzK15	TZ:Shamus	Barry Beckerman
C76	T:Mammy	Lois Moran
C94	T:The Kennel Murder Case	Mary Astor
C94	T:The Kennel Murder Case	Ralph Morgan
C94	T:The Kennel Murder Case	Paul Cavanagh
C101	T:Black Fury	Paul Muni
C104	TZ:Captain Blood	Olivia deHavilland
C104	T:Captain Blood	Basil Rathbone
C104	T:Captain Blood	Lionel Atwill
C106	TZ:Charge of the Light Brigade	Olivia deHavilland
C106	T:Charge of the Light Brigade	Patric Knowles
C106	T:Charge of the Light Brigade	Nigel Bruce
C106	T:Charge of the Light Brigade	Lumsden Hare
C109	T:Kid Galahad	Ben Welden
C112	T:The Adventures of Robin Hood	Montagu Love
C113	T:Four Daughters	Lola Lane
C113	T:Four Daughters	Priscilla Lane
C113	T:Four Daughters	May Robson
C115	T:Angels with Dirty Faces	Ann Sheridan
C117	T:Daughters Courageous	Lola Lane
C117	T:Daughters Courageous	Priscilla Lane
C117	T:Daughters Courageous	May Robson
C118	T:The Private Life of Elizabeth and Essex	Olivia deHavilland
C118	TZ:The Private Lives of Elizabeth and Essex	Nanette Fabray
C118	T:The Private Lives of Elizabeth and Essex	Alan Hale
C119	TZ:Dodge City	Olivia deHavilland
C119	T:Dodge City	Ann Sheridan
C119	T:Dodge City	Alan Hale
C120	T:Four Wives	Lola Lane
C120	T:Four Wives	Priscilla Lane
C120	T:Four Wives	May Robson
C121	T:The Sea Hawk	Alan Hale
C122	T:The Santa Fe Trail	Olivia deHavilland
C123	T:Virginia City	Randolph Scott
C123	T:Virginia City	Alan Hale
C123	T:Virginia City	Moroni Olsen
C127	T:Casablanca	Peter Lorre
C127	T:Casablanca	Marcel Dalio
C127	T:Casablanca	Madeleine Lebeau
C127	T:Casablanca	Ludwig Stossel
C131	TZ:Passage to Marseilles	Peter Lorre
C131	T:Passage to Marseilles	Michele Morgan
C131	T:Passage to Marseilles	Philip Dorn
C135	T:Night and Day	Alan Hale
C135	T:Night and Day	Paul Cavanagh
C136	T:Life with Father	Zasu Pitts
C142	T:Young Man with a Horn	Mary Beth Hughes
C142	T:Young Man with a Horn	Nestor Paiva
C143	T:The Breaking Point	Patricia Neal
C143	T:The Breaking Point	Phyllis Thaxter
C146	T:Force of Arms	Paule Picerni
C160	T:We're No Angels	Peter Ustinov
C160	T:We're No Angels	Aldo Ray
C161	T:White Christmas	Bing Crosby
C165	T:The Vagabond King	Walter Hampden
C165	T:The Vagabond King	William Prince
C171	T:The Adventures of Huckleberry Finn	Archie Moore
C171	T:The Adventures of Huckleberry Finn	Neville Brand
C171	T:The Adventures of Huckleberry Finn	Andy Devine
CaB1	T:36 Fillette	Olivier Parniere
CaB1	T:36 Fillette	Bertha Dominguez-D
CaF10	T:One False Move	Billy Bob Thornton
CaF10	T:One False Move	Michael Beach
CaG1	T:Caveman	Avery Schreiber
CAL20	T:Occupe-Toi d'Amelie	Bourvil
CAL35	T:The Game of Love	Nicole Berger
CAL46	T:Four Bags Full	Bourvil
CAL46	T:La Travers\'ee de Paris	Bourvil
CaR1	T:Enter Laughing	Michael J. Pollard
CaR5	T:The Comic	Mickey Rooney
CaR5	T:The Comic	Michele Lee
CaR5	T:The Comic	Pert Kelton
CaR7	TZ:Where's Poppa?	Rae Allen
CaR7	TZ:Where's Poppa?	Barnard Hughes
CaR15	T:Oh, God	Ralph Bellamy
CaR15	T:Oh, God	Paul Sorvino
CaR15	T:Oh, God	Barnard Hughes
CaR15	T:Oh, God	Barry Sullivan
CaR27	T:Summer School	Mark Harmon
CaR20	TZ:Dead Men Don't Wear Plaid	Rachel Ward
CaR20	TZ:Dead Men Don't Wear Plaid	Reni Santoni
CaR21	TZ:The Jerk	Bernadette Peters
CaR21	T:The Jerk	Bill Macy
CaR21	T:The Jerk	Maurice Evans
CaR22	T:The Man With Two Brains	Paul Benedict
CaR35	T:Fatal Instinct	Armand Assante
CaR38	T:That Old Feeling	Bette Midler
CaR38	T:That Old Feeling	Paula Marshall
CBa40	T:It	Antonio Moreno
CBa50	T:No No Nanette	Bernice Claire
CBa50	T:No No Nanette	Bert Roach
CBd10	TZ:Black Stallion	Mickey Rooney
CBl60	T:Observations Under the Volcano	Walter Huston
CBl67	T:Private Conversations	Arthur Miller
CBl69	T:Nik and Murray	Alwin Nikolais
CBl69	T:Nik and Murray	Murray Louis
CBl73	T:Signed: Lino Brocka	Lino Brocka
CBl80	T:Motel	Martha Becket
CBP10	T:Norseman	Mel Ferrer
CBP12	TZ:The Evictors	Michael Parks
CBt10	T:To Sleep with Anger	Paul Butler
CBt10	T:To Sleep with Anger	Mary Alice
CBt10	T:To Sleep with Anger	Richard Brooks
CBt15	T:Nightjohn	Allison Jones
CBt15	T:Nightjohn	Beau Bridges
CBt15	T:Nightjohn	Lorraine Toussaint
CBt15	T:Nightjohn	Bill Cobbs
CBw9	T:The Eagle	Louise Dresser
CBw17	T:Anna Christie	Marie Dressler
CBw19	T:Inspiration	Marjorie Rambeau
CBw19	T:Inspiration	Beryl Mercer
CBw22	T:Possessed	Marjorie White
CBw28	T:Chained	Otto Kruger
CBw29	T:Anna Karenina	May Robson
CBw29	T:Anna Karenina	Reginald Owen
CBw29	T:Anna Karenina	Reginald Denny
CBw31	T:The Gorgeous Hussy	Melvyn Douglas
CBw31	T:The Gorgeous Hussy	Alison Skipworth
CBw31	T:The Gorgeous Hussy	Louis Calhern
CBw31	T:The Gorgeous Hussy	Beulah Bondi
CBw31	T:The Gorgeous Hussy	Melville Cooper
CBw33	T:Conquest	Reginald Owen
CBw33	T:Conquest	Alan Marshal
CBw33	T:Conquest	May Whitty
CBw33	T:Conquest	Maria Ouspenskaya
CBw36	T:The Rains Came	Myrna Loy
CBw36	T:The Rains Came	Maria Ouspenskaya
CBw36	T:The Rains Came	Nigel Bruce
CBw36	T:The Rains Came	Mary Nash
CBw36	T:The Rains Came	Marjorie Rambeau
CBw37	T:Edison The Man	Lynne Overman
CBw38	T:Come Live With Me	Barton McLane
CBw41	T:The White Cliffs of Dover	Alan Marshall
CBw41	T:The White Cliffs of Dover	Norma Varden
CBw42	T:National Velvet	Mickey Rooney
CBw42	T:National Velvet	Reginald Owen
CBw42	T:National Velvet	Norma Varden
CBw42	T:National Velvet	Alex Craig
CBw42	T:National Velvet	Arthur Shields
CBw45	T:Intruder in the Dust	Porter Hall
CBy10	T:Salome	Alla Nazimova
CC43	T:The Tramp	Lloyd Bacon
CC62	T:The Immigrant	Albert Austin
CC66	T:A Dog's Life	Albert Austin
CC73	T:The Goldrush	Mack Swain
CC77	T:Modern Times	Paulette Goddard
CC78	T:The Great Dictator	Paulette Goddard
CC78	T:The Great Dictator	Reginald Gardiner
CC78	T:The Great Dictator	Billy Gilbert
CC79	T:The Goldrush	Mack Swain
CC75	T:Circus	Allan Garcia
CC80	T:Limelight	Melissa Hayden
CC80	T:Limelight	Nigel Bruce
CCa10	T:Flight of the Innocent	Manuel Colao
CCa13	T:Fluke	Matthew Modine
CCb10	T:The Mummy's Hand	Peggy Moran
CCG4	T:L'Aveu	Michel Vitold
CCG7	T:Missing	Melanie Mayron
CCG7	T:Missing	Richard Bradford
CCG10	T:Betrayed	Betsy Blair
CCG10	T:Betrayed	Albert Hall
CCG10	T:Betrayed	Maria Valdez
CCG15	T:Music Box	Armin MuellerStahl
CCG15	T:Music Box	Michael Rooker
CCG24	T:Mad City	Mia Kirshner
CCo1	T:Adventures in Babysitting	Bradley Whitford
CCo3	T:Home Alone	Macaulay Culkin
CCo4	T:Only the Lonely	Maureen OHara
CCo5	T:Home Alone 2: Lost in New York	Macaulay Culkin
CCo6	T:Mrs.~Doubtfire	Polly Hollyday
CCo6	T:Mrs.~Doubtfire	Lisa Jacub
CCr10	T:Off Limits	Amanda Pays
CCr10	T:Off Limits	Paul Alan Grier
CCr10	T:Off Limits	Richard Brok
CCr10	T:Off Limits	Raymond OConnor
CCw2	T:Singles	Matt Dillon
CD8	T:What's New Pussycat?	Peter OToole
CD8	T:What's New Pussycat?	Louise Lasser
CD8	T:What's New Pussycat?	Richard Burton
CD11	TZ:Luv	Peter Falk
CD11	TZ:Luv	Nina Wayne
CD22	T:Vampira	Peter Bayliss
CD22	T:Vampira	Linda Hayden
CD22	T:Vampira	Nicky Henson
CD22	T:Vampira	Bernard Breslaw
CD29	T:Charlie Chan and the Curse of the Dragon Queen	Peter Ustinov
CD29	T:Charlie Chan and the Curse of the Dragon Queen	Angie Dickenson
CD29	T:Charlie Chan and the Curse of the Dragon Queen	Rachel Roberts
CD29	T:Charlie Chan and the Curse of the Dragon Queen	Michelle Pfeiffer
CDe10	T:The Escape Artist	Raul Julia
CdG1	T:Tarzan and his Mate	Paul Cavanagh
CDM1	T:The Squaw Man	Monroe Salisbury
CDM1	T:The Squaw Man	Billy Elmer
CDM3	T:The Virginian	Billy Elmer
CDM6	T:Rose of the Rancho	Bessie Barrisdale
CDM9	T:The Girl of the Golden West	Raymond Hatton
CDM11	T:The Warrens of Virginia	Blanche Sweet
CDM13	T:The Goose Girl	Marguerite Clark
CDM17	T:The Captive	Page Peters
CDM17	T:The Captive	Marjorie Daw
CDM32	T:The Squaw Man	Naoh Beery
CDM40	T:The Affairs of Anatol	Agnes Ayres
CDM40	T:The Affairs of Anatol	Monte Blue
CDM52	T:Madame Satan	Marthe Sleeper
CDM56	T:The Sign of the Cross	Arthur Hohl
CDM56	T:The Sign of the Cross	Nat Pendleton
CDM59	T:Cleopatra	Arthur Hohl
CDM64	T:The Plainsman	Paul Harvey
CDM73	T:Union Pacific	Barbara Stanwyck
CDM73	T:Union Pacific	Akim Tamiroff
CDM73	T:Union Pacific	Lynne Overman
CDM73	T:Union Pacific	Anthony Quinn
CDM73	T:Union Pacific	Regis Toomey
CDM75	T:Reap the Wild Wind	Ray Milland
CDM75	T:Reap the Wild Wind	Paulette Goddard
