STAGENM	BIRTHNM	FIRSTNM	DOB	ORIGIN	GENDER	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
Dawn Addams	Addams	Dawn	1930	\Br	F	2005-07-08 15:07:58.264	2005-07-08 16:31:51.134
Anouk Aim\'ee	Dreyfus	Fran{\c}coise Sorya	1932	\Fr	F	2005-07-08 00:43:00.542	2005-07-08 00:53:55.705
Richard Ainley	Ainley	Richard	1910	\Br	M	2005-07-08 11:04:05.57	2005-07-08 11:58:37.656
Maria Aitkins	#	#	#	\Un	F	2005-07-08 09:29:21.674	2005-07-08 09:51:32.779
Franklyn Ajaye	#	#	1949	\Am	M	2005-07-08 12:36:58.237	2005-07-08 13:16:49.538
Claude Akins	Akins	Claude	1918	\Am	M	2005-07-07 20:59:24.505	2005-07-07 22:13:44.917
Serap Aksoy	Aksoy	Serap	#	\Tu	F	2005-07-08 02:15:09.267	2005-07-08 02:40:22.139
Josh Albee	#	#	#	\Un	M	2005-07-07 19:41:24.913	2005-07-07 20:00:34.42
Edward Albert~jr.	#	#	#	\Un	M	2005-07-07 19:18:45.537	2005-07-07 20:06:32.211
William Albert	#	#	#	\Un	M	2005-07-08 03:14:59.013	2005-07-08 03:31:51.516
Frank Albertson	Albertson	Frank	1907	\Am	M	2005-07-08 08:37:12.49	2005-07-08 09:51:39.29
Mabel Albertson	Albertson	Mabel	1901	\Am	F	2005-07-08 00:02:29.736	2005-07-08 01:03:15.089
Hardie Albright	Albrecht	Hardy	1903	\Am	M	2005-07-07 18:02:00.626	2005-07-07 19:30:06.815
Lola Albright	Albright	Lola	1925	\Am	F	2005-07-08 09:33:20.787	2005-07-08 10:56:38.44
Robert Alda	d'Abruzzo	Alphonso	1914	\Un	M	2005-07-07 16:21:51.242	2005-07-07 17:49:28.959
Rutanya Alda	#	#	#	\Un	F	2005-07-07 15:55:33.092	2005-07-07 16:14:01.779
Vera Alentova	#	#	#	\Un	F	2005-07-08 14:06:52.688	2005-07-08 15:34:03.628
Jane Alexander	Quigley	Jane	1939	\Am	F	2005-07-08 04:15:03.126	2005-07-08 05:26:57.573
John Alexander	Alexander	John	1901	\Am	M	2005-07-08 09:40:15.481	2005-07-08 09:40:16.179
Katherine Alexander	Alexander	Katherine	1901	\Am	F	2005-07-08 13:26:42.651	2005-07-08 14:52:04.544
Sandy Alexander	#	#	#	\Un	#	2005-07-08 10:58:44.345	2005-07-08 12:15:07.856
Hope AlexanderWells	#	#	#	\Un	F	2005-07-08 15:18:27.602	2005-07-08 15:45:25.173
Muhammed Ali	Clay	Cassius	1942	Black-\Am	M	2005-07-07 17:42:50.123	2005-07-07 18:41:38.54
Dorothy Alison	Alison	Dorothy	1925	\Au	F	2005-07-08 13:23:44.421	2005-07-08 13:47:42.429
Andrea Allan	#	#	#	\Un	F	2005-07-08 08:22:07.325	2005-07-08 09:02:12.918
Catherine Allegret	#	#	#	\Fr	F	2005-07-07 21:57:19.042	2005-07-07 22:00:12.382
Gracie Allen	Allen	Gracie	1902	\Am	F	2005-07-07 21:23:08.764	2005-07-07 22:26:51.947
Rae Allen	#	#	#	\Un	#	2005-07-08 00:18:19.7	2005-07-08 01:18:52.571
Joseph Allen~jr.	#	#	#	\Un	M	2005-07-07 21:31:35.255	2005-07-07 22:19:44.409
Kirstie Alley	Alley	Kirstie	#	\Am	F	2005-07-08 12:25:32.189	2005-07-08 13:24:08.026
Sara Allgood	Allgood	Sara	1883	\Ir	F	2005-07-07 16:12:43.858	2005-07-07 16:24:39.163
Claud Allister	Palmer	Claud	1891	\Br	M	2005-07-08 10:51:45.49	2005-07-08 11:47:46.678
June Allyson	Geisman	Ella	1917	\Am	F	2005-07-07 22:10:37.802	2005-07-07 23:20:06.713
Pedro Almodovar	Almodovar	Pedro	#	\Sp	M	2005-07-08 01:17:57.587	2005-07-08 01:40:06.281
Maria Conchita Alonso	#	#	#	\Un	F	2005-07-08 01:16:28.895	2005-07-08 02:30:21.432
Betty Amann	#	#	#	\Un	F	2005-07-08 01:09:17.273	2005-07-08 01:31:18.26
Leonora Amar	#	#	#	\Un	F	2005-07-08 05:11:29.355	2005-07-08 06:37:05.33
Don Ameche	Amici	Dominic Felix	1908	\Am	M	2005-07-08 08:27:04.084	2005-07-08 09:45:55.306
Lucio Amelio	#	#	#	\Un	M	2005-07-07 22:52:52.209	2005-07-08 00:01:16.982
John Amos	#	#	#	\Un	M	2005-07-07 23:29:47.725	2005-07-08 00:18:49.248
John Amplas	#	#	#	\Un	M	2005-07-07 19:30:51.05	2005-07-07 20:26:56.949
Glenn Anders	Anders	Glenn	1889	\Am	M	2005-07-07 16:03:53.309	2005-07-07 17:14:16.488
Bridgette Andersen	#	#	#	\Un	F	2005-07-08 08:44:18.894	2005-07-08 09:18:53.736
Bibi Anderson	#	#	#	#	M	2005-07-07 18:01:59.564	2005-07-07 18:07:20.696
E. Erich Anderson	#	#	#	\Un	M	2005-07-08 14:20:49.208	2005-07-08 15:35:48.976
Harriet Anderson	Anderson	Harriet	#	\Sw	F	2005-07-08 07:22:08.577	2005-07-08 07:57:17.734
Ingrid Anderson	#	#	#	\Un	F	2005-07-07 20:44:41.158	2005-07-07 21:24:20.726
Jean Anderson	Anderson	Jean	1908	\Br	F	2005-07-08 04:00:44.626	2005-07-08 04:11:41.923
John Anderson	Anderson	John	1922	\Am	M	2005-07-08 11:14:22.333	2005-07-08 11:55:21.667
Lindsay Anderson	Anderson	Lindsay	1923	\Br	M	2005-07-07 21:23:40.026	2005-07-07 22:10:29.367
Loni Anderson	Anderson	Loni	1947	\Am	F	2005-07-08 13:04:39.754	2005-07-08 13:36:41.95
Mary Anderson	Anderson	Mary	1920	\Am	F	2005-07-08 02:20:06.248	2005-07-08 03:38:29.44
Melissa Sue Anderson	#	#	#	\Un	F	2005-07-07 23:38:03.747	2005-07-08 01:04:58.024
Richard Anderson	Anderson	Richard	1926	\Am	M	2005-07-08 00:16:11.508	2005-07-08 01:37:09.226
Rona Anderson	Anderson	Rona	1926	\Br; Scots	F	2005-07-08 09:06:43.788	2005-07-08 09:43:08.537
Warner Anderson	Anderson	Warner	1911	\Am	M	2005-07-08 09:36:55.66	2005-07-08 10:35:54.989
Bibi Andersson	Andersson	Bibi	1935	\Sw	F	2005-07-08 12:51:49.366	2005-07-08 12:52:01.402
Harriet Andersson	Andersson	Harriet	1932	\Am	F	2005-07-07 22:07:11.373	2005-07-07 23:16:05.897
Carole Andre	#	#	#	\Un	F	2005-07-08 07:17:42.529	2005-07-08 07:45:49.503
Gabe Andre	#	#	#	\Un	#	2005-07-07 18:49:56.494	2005-07-07 19:44:38.723
Fr\'ed\'ric Andrei	#	#	#	\Un	M	2005-07-08 00:06:20.578	2005-07-08 01:11:51.786
Ursula Andress	Ursula	Andress	1936	\Zw	F	2005-07-08 14:19:15.541	2005-07-08 15:36:34.524
Brian Andrews	#	#	#	\Un	M	2005-07-08 00:23:55.424	2005-07-08 01:16:53.12
Eamonn Andrews	Andrews	\'Eamonn	#	\Ct	M	2005-07-08 15:31:45.229	2005-07-08 16:10:00.278
Harry Andrews	Andrews	Harry	1911	\Br	M	2005-07-07 18:15:20.953	2005-07-07 18:38:31.626
Julie Andrews	Wells	Julia	1934	\Br	F	2005-07-08 06:26:17.407	2005-07-08 06:50:38.072
The Andrews Sisters	Patty, Maxine, Laverne	Andrews	1913	\Am	G	2005-07-07 21:38:57.906	2005-07-07 22:42:10.247
Pier Angeli	Pierangeli	Anna Maria	1932	\It	F	2005-07-08 00:19:47.363	2005-07-08 00:53:07.941
The Hells Angels	#	#	#	\Un	G	2005-07-08 01:59:54.242	2005-07-08 02:32:53.0
Maya Angelou	Angelou	Maya	1929	\Am	F	2005-07-07 20:26:25.311	2005-07-07 20:57:36.502
Ivy Angustain	#	#	#	\Un	F	2005-07-08 10:30:34.611	2005-07-08 11:59:55.022
AnnMargret	Olsson	Ann-Margret	1941	\Sw-\Am	F	2005-07-07 21:36:17.625	2005-07-07 22:22:10.363
Karen Anspach	#	#	#	\Un	F	2005-07-07 17:36:07.616	2005-07-07 19:05:24.016
Susan Anspach	Anspach	Susan	1939	\Am	F	2005-07-07 17:50:18.147	2005-07-07 18:36:25.329
Adam Ant	#	#	#	\Un	M	2005-07-08 12:17:47.636	2005-07-08 13:41:38.53
Lysette Anthony	#	#	#	\Un	F	2005-07-07 21:22:27.111	2005-07-07 22:26:01.165
Michael Anthony	#	#	#	\Un	M	2005-07-08 14:44:32.608	2005-07-08 15:23:23.55
Susan Anton	#	#	#	\Un	F	2005-07-08 12:27:37.388	2005-07-08 12:36:34.952
Laura Antonelli	#	#	#	\Un	F	2005-07-08 11:02:49.464	2005-07-08 12:07:34.864
Lou Antonio	#	#	#	\Un	M	2005-07-07 16:59:04.455	2005-07-07 18:15:46.221
Alfonso Arau	#	#	#	\Un	M	2005-07-08 12:50:13.706	2005-07-08 13:24:32.771
Allan Arbus	#	#	#	\Un	M	2005-07-08 07:48:36.128	2005-07-08 08:44:21.091
Carmen Argenziano	#	#	#	\Un	F	2005-07-08 11:59:13.18	2005-07-08 13:27:59.503
Adam Arkin	#	#	#	\Un	M	2005-07-07 22:30:06.879	2005-07-07 23:19:55.131
David Arkin	#	#	#	\Un	M	2005-07-08 14:05:24.642	2005-07-08 15:30:41.408
Richard Arlen	van Mattemore	Cornelius	1898	\Am	M	2005-07-07 20:46:57.972	2005-07-07 21:06:41.017
Arletty	Bathiat	Leonie	1898	\Fr	F	2005-07-08 08:09:39.161	2005-07-08 08:39:56.293
Curtis Armstrong	#	#	#	\Un	M	2005-07-08 03:53:13.985	2005-07-08 05:21:14.403
R.G. Armstrong	Armstrong	R.G.	1920	\Am	M	2005-07-08 05:54:08.131	2005-07-08 06:05:06.59
Robert Armstrong	Smith	Donald Robert	1890	\Am	M	2005-07-08 14:48:42.02	2005-07-08 15:30:30.411
Todd Armstrong	Armstrong	Todd	1939	\Am	M	2005-07-08 08:58:36.863	2005-07-08 10:02:50.818
Yvonne Arnaud	Arnaud	Yvonne	1892	\Fr	F	2005-07-08 13:23:58.82	2005-07-08 13:31:16.187
Peter Arne	Albrecht	Peter Arne	1920	\Br	M	2005-07-08 09:14:17.156	2005-07-08 09:49:20.339
Jeanetta Arnette	#	#	#	\Un	F	2005-07-08 01:42:00.823	2005-07-08 01:49:28.549
Mark Arnott	#	#	#	\Un	M	2005-07-08 08:24:36.282	2005-07-08 09:29:44.258
Charles Arnt	Arnt	Charles	1908	\Am	M	2005-07-07 19:50:18.349	2005-07-07 20:00:00.231
Rosanna Arquette	#	#	#	\Un	F	2005-07-08 04:52:57.141	2005-07-08 06:08:32.578
George K. Arthur	Brest	G.K.A.	1899	\Br	M	2005-07-08 10:33:23.005	2005-07-08 11:42:50.977
Jean Arthur	Greene	Gladys	1905	\Am	F	2005-07-07 16:59:24.238	2005-07-07 17:06:31.021
Leslie Ash	#	#	#	\Un	#	2005-07-08 09:04:46.059	2005-07-08 10:22:13.848
Peggy Ashcroft	Ashcroft	Dame Peggy	1907	\Br	F	2005-07-07 21:09:20.224	2005-07-07 21:38:53.753
Ren\`ee Asherson	Asherson	Ren	1920	\Br	F	2005-07-08 11:27:03.762	2005-07-08 12:04:29.413
Edward Ashley	Cooper	E.A.	1904	\Br	M	2005-07-07 16:01:25.212	2005-07-07 16:08:41.049
Jennifer Ashley	#	#	#	\Un	F	2005-07-08 10:06:12.883	2005-07-08 11:19:47.142
John Ashley	#	#	#	\Un	M	2005-07-07 21:05:11.882	2005-07-07 22:09:56.979
Gregoire Asian	#	#	#	\Un	#	2005-07-08 01:24:27.034	2005-07-08 01:32:52.834
Luke Askew	Askew	Luke	#	\Am	M	2005-07-08 04:37:26.749	2005-07-08 05:32:57.989
Chuck Aspegren	#	#	#	\Un	M	2005-07-08 02:10:23.05	2005-07-08 03:17:32.891
Armand Assante	#	#	#	\Un	M	2005-07-08 04:50:33.649	2005-07-08 05:49:54.005
Asta	#	#	#	\Un	A	2005-07-07 16:40:38.085	2005-07-07 16:45:34.678
Adele Astaire	#	#	#	\Ct	M	2005-07-08 04:05:19.139	2005-07-08 04:45:28.54
Nils Asther	Asther	Nils	1897	\Sw	M	2005-07-07 16:13:45.305	2005-07-07 17:42:17.353
Patty Duke Astin	Duke Astin	Patty	1946	\Am	F	2005-07-07 18:42:05.517	2005-07-07 19:16:17.715
Gertrude Astor	Astor	Gertrude	1887	\Am	F	2005-07-08 15:32:37.898	2005-07-08 16:16:14.793
Mary Astor	Langehanke	Lucille	1906	\Am	F	2005-07-08 13:57:31.292	2005-07-08 14:17:43.609
William Atherton	Atherton	William	1947	\Am	M	2005-07-08 10:26:27.128	2005-07-08 11:30:04.817
Kiyoshi Atsumi	Tadoroko	Yasuo	1928	\Jp	M	2005-07-07 20:38:58.064	2005-07-07 21:51:39.082
Lionel Atwill	Atwill	Lionel	1885	\Br	M	2005-07-08 08:12:43.373	2005-07-08 09:02:56.977
Kim Atwood	#	#	#	\Un	#	2005-07-08 02:51:01.392	2005-07-08 03:33:42.752
Brigitte Auber	#	#	#	\Un	F	2005-07-07 23:40:43.973	2005-07-07 23:42:51.388
Lenore Aubert	Aubert	Leonore	1913	\Yu	F	2005-07-08 14:57:51.208	2005-07-08 15:12:49.926
Cecile Aubry	Benard	Anne-Jes\`e	1929	\Fr	F	2005-07-08 13:05:24.474	2005-07-08 13:15:40.304
Joss Auckland	#	#	#	\Un	M	2005-07-08 13:43:20.16	2005-07-08 14:20:26.752
Audrey	#	#	#	\Un	#	2005-07-08 05:31:00.363	2005-07-08 06:45:42.371
Mischa Auer	Ounskowsky	Mischa	1905	\Ru	M	2005-07-08 11:31:10.122	2005-07-08 12:35:27.947
John Austin	#	#	#	\Un	M	2005-07-07 21:32:48.338	2005-07-07 21:46:43.761
Daniel Auteuil	Auteuil	Daniel	#	\Fr	M	2005-07-07 15:36:37.783	2005-07-07 15:54:32.749
Luis Avalos	#	#	#	\Un	M	2005-07-08 07:23:04.66	2005-07-08 08:23:00.178
Brian Avery	#	#	#	\Un	M	2005-07-07 15:49:47.568	2005-07-07 16:39:04.514
Margaret Avery	#	#	#	\Un	F	2005-07-08 11:32:55.521	2005-07-08 11:34:52.755
Nina Axelrod	#	#	#	\Un	F	2005-07-07 20:00:50.457	2005-07-07 21:25:11.916
Hoyt Axton	#	#	#	\Un	M	2005-07-08 03:46:50.796	2005-07-08 05:08:26.763
George Ayer	#	#	#	\Un	M	2005-07-08 13:44:53.101	2005-07-08 15:02:29.949
Felix Aylmer	Aylmer Jones	Felix Edward	1889	\Br	M	2005-07-08 05:10:30.277	2005-07-08 06:31:02.63
Agnes Ayres	Hinkle	Agnes	1896	\Am	F	2005-07-07 22:04:41.873	2005-07-07 23:08:14.707
Gregg Ayres	#	#	#	\Un	M	2005-07-07 17:23:31.451	2005-07-07 17:33:21.796
Robert Ayres	Ayres	Robert	1914	\Ca	M	2005-07-08 12:36:36.646	2005-07-08 13:06:10.998
Shabana Azmi	#	#	#	\Un	F	2005-07-08 04:21:09.404	2005-07-08 05:25:39.601
Charles Aznavour	Aznavurjan	Shahnour	1924	\Tu	M	2005-07-08 00:55:42.744	2005-07-08 01:17:50.669
Candy Azzara	#	#	#	\Un	F	2005-07-07 20:32:18.136	2005-07-07 21:02:27.619
Lauren Bacall	Perske	Betty Jean	1924	\Am	F	2005-07-07 23:40:12.884	2005-07-08 00:38:40.996
Pamela Bach	Bach	Pamela	1962	\Am	F	2005-07-08 05:51:37.604	2005-07-08 06:45:50.806
Amitabh Bachchan	bn	fn	1942	#	M	2005-07-08 09:46:54.742	2005-07-08 11:03:24.222
Kevin Bacon	#	#	#	\Un	M	2005-07-08 14:25:02.714	2005-07-08 15:04:57.255
Hermione Baddeley	Baddely	Hermione	#	\Ct	F	2005-07-07 23:42:10.69	2005-07-08 00:22:41.527
Alan Badel	Badel	Alan	1923	\Br	M	2005-07-08 11:45:12.156	2005-07-08 12:59:34.202
Buddy Baer	Baer	Jacob Henry	1915	\Am	M	2005-07-08 02:43:38.921	2005-07-08 03:20:53.499
Harry Baer	#	#	#	\Un	M	2005-07-07 18:45:54.328	2005-07-07 19:27:09.014
Fay Bainter	Bainter	Fay	1892	\Am	F	2005-07-08 15:02:24.488	2005-07-08 16:28:48.394
Scott Baio	Baio	Scott	1961	\Am	M	2005-07-08 10:31:46.907	2005-07-08 11:44:37.097
Blanche Baker	#	#	#	\Un	F	2005-07-08 09:31:59.83	2005-07-08 09:53:34.85
Carrol Baker	Baker	Carrol	1931	\Am	F	2005-07-08 13:47:38.618	2005-07-08 14:27:52.968
Joe Don Baker	Baker	Joe Don	1943	\Am	M	2005-07-07 15:55:55.335	2005-07-07 16:32:01.742
Josephine Baker	Baker	Josephine	1906	\Am	F	2005-07-07 23:11:12.617	2005-07-08 00:12:08.197
Ruby Baker	#	#	#	\Un	F	2005-07-08 02:26:08.627	2005-07-08 03:45:29.008
Stanley Baker	Baker	Sir Stanley	1927	\Br; Welsh	M	2005-07-08 06:35:01.233	2005-07-08 06:43:48.695
Jill Balcon	Balcon	Jill	1925	\Br	F	2005-07-07 19:48:12.742	2005-07-07 20:25:08.817
Rebecca Balding	#	#	#	\Un	F	2005-07-08 02:00:34.576	2005-07-08 02:18:38.345
Adam Baldwin	#	#	#	\Un	M	2005-07-07 18:28:14.915	2005-07-07 19:35:07.209
Alec Baldwin	Baldwin	Alec	#	#	M	2005-07-08 07:20:47.981	2005-07-08 07:30:20.773
Daniel Baldwin	Baldwin	Daniel	#	\Am	M	2005-07-07 17:09:56.374	2005-07-07 18:37:55.373
Stephen Baldwin	Baldwin	Stephen	1963	\Am	M	2005-07-08 01:12:20.854	2005-07-08 02:04:15.583
William Baldwin	Baldwin	William (Billy)	1963	\Am	M	2005-07-08 04:29:49.236	2005-07-08 04:42:12.187
Vincent Ball	Ball	Vincent	#	\Au	M	2005-07-07 20:55:55.602	2005-07-07 22:05:18.875
Martin Balsam	Balsam	Martin	1919	\Am	M	2005-07-07 15:38:12.542	2005-07-07 15:39:46.672
Anne Bancroft	Italiano	Anna Maria	1931	\Un	F	2005-07-07 21:14:18.153	2005-07-07 22:30:14.111
Antonio Banderas	#	#	#	\Un	M	2005-07-07 23:44:36.428	2005-07-08 00:50:51.195
Victor Banerjee	#	#	#	\Un	M	2005-07-08 04:19:52.377	2005-07-08 04:51:52.429
Donatas Banionis	#	#	#	\Un	M	2005-07-08 03:44:08.922	2005-07-08 04:52:59.848
Alex Bank	#	#	#	\Un	M	2005-07-08 00:35:02.479	2005-07-08 01:14:00.489
Tallulah Bankhead	Bankhead	Tallulah	1902	\Am	F	2005-07-08 07:42:04.043	2005-07-08 07:54:56.106
Aaron Banks	#	#	#	\Un	M	2005-07-07 16:44:56.796	2005-07-07 17:07:24.378
Leslie Banks	Banks	Leslie	1890	\Br	M	2005-07-08 11:56:46.981	2005-07-08 12:56:29.562
Vilma Banky	Lonchit	Vilma	1902	\Os-\Hu	F	2005-07-08 07:22:40.062	2005-07-08 08:35:19.522
Theda Bara	Goodman	Theodosia	1890	\Am	F	2005-07-08 08:33:17.204	2005-07-08 09:53:39.502
Olga Baraclanova	#	#	#	\Un	F	2005-07-07 15:53:14.422	2005-07-07 16:04:23.031
Christine Baranski	#	#	#	\Un	F	2005-07-08 03:42:29.997	2005-07-08 04:53:38.56
Vanna Barba	Barba	Vanna	1967	\Gr	F	2005-07-07 19:52:35.71	2005-07-07 21:19:33.352
Joyce Barbour	#	#	#	\Un	F	2005-07-08 05:17:04.527	2005-07-08 05:47:27.425
Brigitte Bardot	Javal	Camille	1933	\Fr	F	2005-07-07 18:43:21.972	2005-07-07 19:31:16.69
Mijanou Bardot	Javal	Mijanou	#	\Fr	F	2005-07-08 11:10:32.901	2005-07-08 12:23:43.671
Sonny Barger	#	#	#	\Un	M	2005-07-07 18:38:50.223	2005-07-07 19:34:23.451
Lynn Bari	Fisher	Marjorie	1915	\Am	F	2005-07-08 03:28:52.296	2005-07-08 04:10:14.394
Ronnie Barker	Barker	Ronnie	1929	\Br	M	2005-07-08 07:08:20.019	2005-07-08 07:18:41.013
Ellen Barkin	Barkin	Ellen	1954	\Am	F	2005-07-07 16:33:55.586	2005-07-07 16:52:52.691
Marcie Barkin	#	#	#	\Un	F	2005-07-08 11:52:38.015	2005-07-08 12:57:04.659
Jake Barnes	#	#	#	\Un	M	2005-07-08 01:27:22.606	2005-07-08 01:59:52.528
Julian Barnes	#	#	#	\Un	M	2005-07-08 05:33:57.955	2005-07-08 05:55:14.28
Priscilla Barnes	#	#	#	\Un	F	2005-07-08 12:14:32.244	2005-07-08 12:56:40.378
Charlie Barnett	#	#	#	\Un	M	2005-07-08 09:37:59.261	2005-07-08 09:49:55.908
Nella Barnier	#	#	#	\Un	F	2005-07-08 02:20:19.049	2005-07-08 03:16:32.295
Sandy Baron	#	#	#	\Un	#	2005-07-07 17:05:18.256	2005-07-07 17:20:01.296
Pierre Barouh	#	#	#	\Un	M	2005-07-08 07:01:45.473	2005-07-08 07:08:14.25
Maria Barranco	#	#	#	\Un	F	2005-07-08 15:04:39.158	2005-07-08 15:24:00.364
JeanLouis Barrault	Barrault	Jean-Louis	1910	\Fr	M	2005-07-08 01:12:56.882	2005-07-08 01:41:02.298
MarieChristine Barrault	Barrault	Marie-Christine	1944	\Fr	F	2005-07-08 06:29:29.628	2005-07-08 07:51:26.2
Edith Barrett	Williams	Edith	1907	\Am	F	2005-07-07 22:34:37.998	2005-07-07 23:24:41.234
Barbara Barrie	Barrie	Barbara	#	\Am	F	2005-07-07 23:46:13.422	2005-07-07 23:59:42.963
Edgar Barrier	Barrier	Edgar	1906	\Am	M	2005-07-08 00:01:50.746	2005-07-08 00:07:31.93
Maurice Barrier	#	#	#	\Fr	M	2005-07-08 03:35:34.247	2005-07-08 04:40:09.482
George Barris	#	#	#	\Un	M	2005-07-08 15:18:57.318	2005-07-08 16:11:06.708
Gene Barry	Klass	Eugene	1921	\Am	M	2005-07-08 13:10:52.759	2005-07-08 14:21:20.673
Diane Barrymore	Barrymore Blythe	Diane Blanche	1921	\Am	F	2005-07-08 01:06:31.373	2005-07-08 01:18:25.387
Ethel Barrymore	Blythe	Edith Mae	1879	\Am	F	2005-07-07 17:38:31.599	2005-07-07 17:51:22.275
John Barrymore~jr.	Blythe Barrymore	John Drew	1932	\Am	M	2005-07-08 01:26:38.379	2005-07-08 02:04:36.923
John Barrymore~III	#	#	#	\Un	M	2005-07-07 17:31:26.252	2005-07-07 17:36:07.049
Doris Rankin	Rankin	Doris	#	\Am	F	2005-07-08 07:57:14.358	2005-07-08 07:58:38.144
Irine Fenwick	Fenwick	Irene	1936	\Am	F	2005-07-08 11:42:28.382	2005-07-08 12:56:37.613
Maurice Barrymore	Blythe	Herbert	#	\Am	M	2005-07-08 13:20:28.186	2005-07-08 13:57:12.896
Georgiana Drew	Blythe	Herbert	#	\Am	M	2005-07-07 19:56:54.932	2005-07-07 21:18:01.164
Paul Bartels	Bartels	Paul	1940	\Am	M	2005-07-08 00:26:45.621	2005-07-08 00:50:27.896
Eddie Barth	#	#	#	\Un	M	2005-07-08 00:36:37.414	2005-07-08 01:37:50.877
Richard Barthelmess	Barthelmess	Richard	1895	\Am	M	2005-07-08 10:47:55.18	2005-07-08 11:43:00.232
Freddie Bartholomew	Llewellyn	Frederick	1924	\Ir	M	2005-07-08 11:25:06.271	2005-07-08 11:48:19.54
Eve Bartok	Sj\"oke	Eva	1926	\Hu	F	2005-07-08 01:34:51.048	2005-07-08 02:16:31.517
Richard Basehart	Basehart	Richard	1915	\Am	M	2005-07-07 22:40:48.581	2005-07-07 23:47:02.645
Tony Basil	#	#	#	\Un	M	2005-07-07 17:29:59.089	2005-07-07 18:55:19.906
Kim Basinger	Basinger	Kim	1953	\Am	F	2005-07-08 01:52:17.797	2005-07-08 03:05:30.328
Richard Baskin	Baskin	Richard	#	\Un	M	2005-07-08 01:13:14.149	2005-07-08 02:03:31.686
Alfie Bass	Bass	Alfie	#	\Ct	M	2005-07-08 02:38:59.136	2005-07-08 03:04:59.265
Albert Basserman	Basserman	Albert	1867	\Ge	M	2005-07-08 02:59:58.292	2005-07-08 03:23:03.691
Steve Bassett	#	#	#	\Un	M	2005-07-08 05:58:36.012	2005-07-08 07:22:20.317
Alan Bates	Bates	Alan	1934	\Br	M	2005-07-07 16:41:27.291	2005-07-07 16:45:22.355
Barbara Bates	#	#	#	\Un	F	2005-07-08 12:58:46.888	2005-07-08 13:29:03.387
Kathy Bates	Bates	Kathy	1958	\Am	F	2005-07-08 07:56:30.3	2005-07-08 08:57:28.492
Michael Bates	Bates	Michael	1920	\Br	M	2005-07-07 20:00:15.777	2005-07-07 21:14:25.33
Steven Bauer	#	#	#	\Un	M	2005-07-08 03:16:24.822	2005-07-08 04:06:26.902
