FILMID	TITLE	YEAR	DIRECTOR	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
HK80	T:Captain from Castile	1947	D:H.King	2005-07-07 21:23:40.026	2005-07-07 22:10:29.367
HK83	T:The Gunfighter	1950	D:H.King	2005-07-08 13:04:39.754	2005-07-08 13:36:41.95
HK86	T:David and Bathsheeba	1950	D:H.King	2005-07-08 02:20:06.248	2005-07-08 03:38:29.44
HK89	T:The Snows of Kilimandjaro	1952	D:H.King	2005-07-07 23:38:03.747	2005-07-08 01:04:58.024
HK91	T:Love is a many Splendored Thing	1955	D:H.King	2005-07-08 00:16:11.508	2005-07-08 01:37:09.226
HK92	T:Untamed	1955	D:H.King	2005-07-08 09:06:43.788	2005-07-08 09:43:08.537
HK94	T:The Sun also Rises	1957	D:H.King	2005-07-08 09:36:55.66	2005-07-08 10:35:54.989
FLl7	T:Les Mis\'erables	1918	D:F.Lloyd	2005-07-08 12:51:49.366	2005-07-08 12:52:01.402
GM190	T:The Goldwyn Follies	1938	D:Geo.Marshall	2005-07-07 22:07:11.373	2005-07-07 23:16:05.897
GM222	T:Incendiary Blonde	1945	D:Geo.Marshall	2005-07-08 07:17:42.529	2005-07-08 07:45:49.503
GM237	T:Houdini	1953	D:Geo.Marshall	2005-07-07 18:49:56.494	2005-07-07 19:44:38.723
GM240	T:Red Garters	1954	D:Geo.Marshall	2005-07-08 00:06:20.578	2005-07-08 01:11:51.786
GM300	T:Destry	1954	D:Geo.Marshall	2005-07-08 14:19:15.541	2005-07-08 15:36:34.524
GM305	T:The Gazebo	1959	D:Geo.Marshall	2005-07-08 00:23:55.424	2005-07-08 01:16:53.12
GM310	T:Papa's Delicate Condition	1963	D:Geo.Marshall	2005-07-08 15:31:45.229	2005-07-08 16:10:00.278
IF75	T:Judge Priest	1934	D:J.Ford	2005-07-07 18:15:20.953	2005-07-07 18:38:31.626
IF88	T:Drums Along the Mohawk	1939	D:J.Ford	2005-07-08 06:26:17.407	2005-07-08 06:50:38.072
IF100	T:The Three Godfathers	1948	D:J.Ford	2005-07-07 21:38:57.906	2005-07-07 22:42:10.247
IF111	T:Mr.~Roberts	1955	D:J.Ford	2005-07-08 00:19:47.363	2005-07-08 00:53:07.941
IF112	T:The Searchers	1956	D:J.Ford	2005-07-08 01:59:54.242	2005-07-08 02:32:53.0
IF125	Tm:Donovan's Reef	1963	D:J.Ford	2005-07-07 20:26:25.311	2005-07-07 20:57:36.502
IF135	T:Seven Women	1966	D:J.Ford	2005-07-08 10:30:34.611	2005-07-08 11:59:55.022
ISR10	T:Dr.~Jekyll and Mr.~Hyde	1920	D:Robertson	2005-07-07 21:36:17.625	2005-07-07 22:22:10.363
ISR20	T:Captain of the Guard	1930	D:Robertson	2005-07-07 17:36:07.616	2005-07-07 19:05:24.016
RyB17	T:The Garden of Allah	1936	D:Boleslawski	2005-07-07 17:50:18.147	2005-07-07 18:36:25.329
ViS60	T:Redskin	1929	D:Schertzinger	2005-07-08 12:17:47.636	2005-07-08 13:41:38.53
ViS81	T:The Mikado	1939	D:Schertzinger	2005-07-07 21:22:27.111	2005-07-07 22:26:01.165
FrN4	T:The Three Musketeers	1921	D:Niblo	2005-07-08 14:44:32.608	2005-07-08 15:23:23.55
IMS60	T:Leave Her to Heaven	1945	D:Stahl	2005-07-08 12:27:37.388	2005-07-08 12:36:34.952
KV41	T:The Citadel	1938	D:K.Vidor	2005-07-08 11:02:49.464	2005-07-08 12:07:34.864
KV42	T:Northwest Passage	1939	D:K.Vidor	2005-07-07 16:59:04.455	2005-07-07 18:15:46.221
KV50	T:An American Romance	1944	D:K.Vidor	2005-07-08 12:50:13.706	2005-07-08 13:24:32.771
KV54	T:Cover Girl	1944	D:K.Vidor	2005-07-08 07:48:36.128	2005-07-08 08:44:21.091
KV56	T:Duel in the Sun	1946	D:K.Vidor	2005-07-08 11:59:13.18	2005-07-08 13:27:59.503
KV60	T:Ruby Gentry	1952	D:K.Vidor	2005-07-07 22:30:06.879	2005-07-07 23:19:55.131
KV61	T:The Man Without a Star	1955	D:K.Vidor	2005-07-08 14:05:24.642	2005-07-08 15:30:41.408
KV62	T:Love Me Or Leave Me	1955	D:K.Vidor	2005-07-07 20:46:57.972	2005-07-07 21:06:41.017
KV64	T:War and Peace	1956	D:K.Vidor	2005-07-08 08:09:39.161	2005-07-08 08:39:56.293
TB70	T:The Devil Doll	1936	D:T.Browning	2005-07-08 03:53:13.985	2005-07-08 05:21:14.403
WvD65	T:Sweethearts	1938	D:VanDyke	2005-07-08 05:54:08.131	2005-07-08 06:05:06.59
WvD72	T:Bitter Sweet	1939	D:VanDyke	2005-07-08 14:48:42.02	2005-07-08 15:30:30.411
WvD75	T:Rage in Heaven	1941	D:VanDyke	2005-07-08 08:58:36.863	2005-07-08 10:02:50.818
WvD76	T:Shadow of the Thin Man	1941	D:VanDyke	2005-07-08 13:23:58.82	2005-07-08 13:31:16.187
C106	Tm:Charge of the Light Brigade	1936	D:Curtiz	2005-07-08 09:14:17.156	2005-07-08 09:49:20.339
C112	T:The Adventures of Robin Hood	1938	D:Curtiz	2005-07-08 01:42:00.823	2005-07-08 01:49:28.549
C118	T:The Private Lives of Elizabeth and Essex	1939	D:Curtiz	2005-07-08 08:24:36.282	2005-07-08 09:29:44.258
C119	T:Dodge City	1939	D:Curtiz	2005-07-07 19:50:18.349	2005-07-07 20:00:00.231
C157	T:The Jazz Singer	1953	D:Curtiz	2005-07-08 04:52:57.141	2005-07-08 06:08:32.578
C160	T:We're No Angels	1954	D:Curtiz	2005-07-08 10:33:23.005	2005-07-08 11:42:50.977
C161	T:White Christmas	1954	D:Curtiz	2005-07-07 16:59:24.238	2005-07-07 17:06:31.021
C165	T:The Vagabond King	1956	D:Curtiz	2005-07-08 09:04:46.059	2005-07-08 10:22:13.848
C171	T:The Adventures of Huckleberry Finn	1960	D:Curtiz	2005-07-07 21:09:20.224	2005-07-07 21:38:53.753
FL23	T:Western Union	1941	D:F.Lang	2005-07-08 11:27:03.762	2005-07-08 12:04:29.413
FL26	T:Hangmen Also Die	1942	D:F.Lang	2005-07-07 16:01:25.212	2005-07-07 16:08:41.049
JuD12	T:Lydia	1941	D:Duvivier	2005-07-08 10:06:12.883	2005-07-08 11:19:47.142
JuD13	T:Tales of Manhattan	1942	D:Duvivier	2005-07-07 21:05:11.882	2005-07-07 22:09:56.979
RhS1	T:Around The World in 80 Days	1919	D:Schunzel	2005-07-08 01:24:27.034	2005-07-08 01:32:52.834
RhS15	T:Die Dreigroschenoper	1931	D:Schunzel	2005-07-08 04:37:26.749	2005-07-08 05:32:57.989
CBw10	T:The Goose Woman	1925	D:Cl.Brown	2005-07-08 02:10:23.05	2005-07-08 03:17:32.891
CBw35	T:Idiot's Delight	1939	D:Cl.Brown	2005-07-08 04:50:33.649	2005-07-08 05:49:54.005
CBw38	T:Come Live With Me	1941	D:Cl.Brown	2005-07-07 16:40:38.085	2005-07-07 16:45:34.678
CBw43	T:The Yearling	1946	D:Cl.Brown	2005-07-08 04:05:19.139	2005-07-08 04:45:28.54
CuB37	T:The Merry Widow	1952	D:Bernhardt	2005-07-07 16:13:45.305	2005-07-07 17:42:17.353
CuB39	T:Miss Sadie Thompson	1953	D:Bernhardt	2005-07-07 18:42:05.517	2005-07-07 19:16:17.715
CuB40	T:Beau Brummel	1954	D:Bernhardt	2005-07-08 15:32:37.898	2005-07-08 16:16:14.793
GCt27	T:Woman to Woman	1926	D:Cutts	2005-07-08 13:57:31.292	2005-07-08 14:17:43.609
GCt50	T:Three Men in a Boat	1933	D:Cutts	2005-07-08 10:26:27.128	2005-07-08 11:30:04.817
HWx17	T:Sixty Glorious Years	1938	D:H.Wilcox	2005-07-07 20:38:58.064	2005-07-07 21:51:39.082
HWx55	T:Lilacs in the Spring	1954	D:H.Wilcox	2005-07-08 08:12:43.373	2005-07-08 09:02:56.977
SW8	T:Hold Your Man	1933	D:S.Wood	2005-07-08 02:51:01.392	2005-07-08 03:33:42.752
SW22	T:For Whom the Bell Tolls	1943	D:S.Wood	2005-07-07 23:40:43.973	2005-07-07 23:42:51.388
SW28	T:Saratoga Trunk	1945	D:S.Wood	2005-07-08 14:57:51.208	2005-07-08 15:12:49.926
VF43	T:The Wizard of Oz	1939	D:V.Fleming	2005-07-08 13:05:24.474	2005-07-08 13:15:40.304
VF44	T:Gone with the Wind	1939	D:V.Fleming	2005-07-08 13:43:20.16	2005-07-08 14:20:26.752
VF46	T:Tortilla Flat	1942	D:V.Fleming	2005-07-08 05:31:00.363	2005-07-08 06:45:42.371
VF48	T:Joan of Arc	1948	D:V.Fleming	2005-07-08 11:31:10.122	2005-07-08 12:35:27.947
PRo80	T:Charlie Chan in the Secret Service	1944	D:Rosen	2005-07-07 21:32:48.338	2005-07-07 21:46:43.761
PRo83	T:The Chinese Cat	1944	D:Rosen	2005-07-07 15:36:37.783	2005-07-07 15:54:32.749
PRo86	T:Charlie Chan in Black Magic	1944	D:Rosen	2005-07-08 07:23:04.66	2005-07-08 08:23:00.178
PRo90	T:The Jade Mask	1945	D:Rosen	2005-07-07 15:49:47.568	2005-07-07 16:39:04.514
PRo93	T:The Scarlet Clue	1945	D:Rosen	2005-07-08 11:32:55.521	2005-07-08 11:34:52.755
PRo96	T:The Red Dragon	1945	D:Rosen	2005-07-07 20:00:50.457	2005-07-07 21:25:11.916
GP4	T:Secrets of a Soul	1926	D:G.W.Pabst	2005-07-08 03:46:50.796	2005-07-08 05:08:26.763
GP6	T:The Love of Jeanne Ney	1927	D:G.W.Pabst	2005-07-08 13:44:53.101	2005-07-08 15:02:29.949
GP11	T:Westfront 1918	1930	D:Pabst	2005-07-08 05:10:30.277	2005-07-08 06:31:02.63
GP18	T:Feuertaufe	1933	D:Pabst	2005-07-07 22:04:41.873	2005-07-07 23:08:14.707
GP21	T:M\"adchen in Uniform	1939	D:Pabst	2005-07-07 17:23:31.451	2005-07-07 17:33:21.796
GP25	T:Der Proze\ss	1948	D:Pabst	2005-07-08 12:36:36.646	2005-07-08 13:06:10.998
GP100	T:M\"adchen in Uniform	1957	D:Pabst	2005-07-08 04:21:09.404	2005-07-08 05:25:39.601
KGr40	T:Abdul the Damned	1935	D:Grune	2005-07-08 00:55:42.744	2005-07-08 01:17:50.669
KGr50	T:Pagliacci	1935	D:Grune	2005-07-07 20:32:18.136	2005-07-07 21:02:27.619
KMz40	T:Woman of Osaka	1940	D:Mizoguchi	2005-07-07 23:40:12.884	2005-07-08 00:38:40.996
KMz70	T:Ugetsu Monogatari	1952	D:Mizoguchi	2005-07-08 05:51:37.604	2005-07-08 06:45:50.806
MRa3	T:L'Etoile de mer	1929	D:Man~Ray	2005-07-08 09:46:54.742	2005-07-08 11:03:24.222
TWh25	T:The Divorce of Lady X	1937	D:Whelan	2005-07-08 14:25:02.714	2005-07-08 15:04:57.255
WiB180	T:The Chinese Ring	1947	D:Beaudine	2005-07-07 23:42:10.69	2005-07-08 00:22:41.527
WiB183	T:The Shanghai Chest	1948	D:Beaudine	2005-07-08 11:45:12.156	2005-07-08 12:59:34.202
WiB186	T:The Mystery of the Golden Eye	1948	D:Beaudine	2005-07-08 02:43:38.921	2005-07-08 03:20:53.499
WiB190	T:The Feathered Serpent	1948	D:Beaudine	2005-07-07 18:45:54.328	2005-07-07 19:27:09.014
W73	T:A Star is Born	1937	D:Wellman	2005-07-08 15:02:24.488	2005-07-08 16:28:48.394
W74	T:Nothing Sacred	1937	D:Wellman	2005-07-08 10:31:46.907	2005-07-08 11:44:37.097
W75	T:Men with Wings	1938	D:Wellman	2005-07-08 09:31:59.83	2005-07-08 09:53:34.85
W100	T:The High and the Mighty	1954	D:Wellman	2005-07-08 13:47:38.618	2005-07-08 14:27:52.968
JR92	T:The Golden Coach	1952	D:J.Renoir	2005-07-07 15:55:55.335	2005-07-07 16:32:01.742
SE1	T:Glumov's Diary	1924	D:Eisenstein	2005-07-07 23:11:12.617	2005-07-08 00:12:08.197
SE6	T:Oktober	1927	D:Eisenstein	2005-07-08 02:26:08.627	2005-07-08 03:45:29.008
SE8	T:The General Line	1928	D:Eisenstein	2005-07-08 06:35:01.233	2005-07-08 06:43:48.695
SE10	T:Mysery and Fortune of Women	1929	D:Eisenstein	2005-07-07 19:48:12.742	2005-07-07 20:25:08.817
SE15	T:Que Viva Mexico	1932	D:Eisenstein	2005-07-08 02:00:34.576	2005-07-08 02:18:38.345
SE26	T:Ivan the Terrible, part II	1946	D:Eisenstein	2005-07-07 18:28:14.915	2005-07-07 19:35:07.209
SE27	T:Ivan the Terrible, part III	1946	D:Eisenstein	2005-07-08 07:20:47.981	2005-07-08 07:30:20.773
AES80	T:The Flying Deuces	1939	D:A.E.Sutherland	2005-07-07 17:09:56.374	2005-07-07 18:37:55.373
CLa117	T:Ma and Pa Kettle in Paris	1953	D:Lamont	2005-07-08 01:12:20.854	2005-07-08 02:04:15.583
CLa120	T:Untamed Heiress	1954	D:Lamont	2005-07-08 04:29:49.236	2005-07-08 04:42:12.187
CLa127	T:Dance With me, Henry	1956	D:Lamont	2005-07-07 20:55:55.602	2005-07-07 22:05:18.875
CLa135	T:The Kettles in the Ozarks	1956	D:Lamont	2005-07-07 15:38:12.542	2005-07-07 15:39:46.672
GLC11	T:She Married Her Boss	1935	D:LaCava	2005-07-07 21:14:18.153	2005-07-07 22:30:14.111
IGB40	T:Charlie Chan's Chance	1932	D:Blystone	2005-07-07 23:44:36.428	2005-07-08 00:50:51.195
IrC81	T:That Night in Rio	1941	D:I.Cummings	2005-07-08 04:19:52.377	2005-07-08 04:51:52.429
IrC86	T:Sweet Rosie O'Grady	1943	D:I.Cummings	2005-07-08 03:44:08.922	2005-07-08 04:52:59.848
LM38.	T:Mutiny on the Bounty	1962	D:Milestone	2005-07-08 00:35:02.479	2005-07-08 01:14:00.489
LM110	T:Ocean's Eleven	1960	D:Milestone	2005-07-08 07:42:04.043	2005-07-08 07:54:56.106
S24.	T:The Saga of Anatahan	1953	D:Sternberg	2005-07-07 16:44:56.796	2005-07-07 17:07:24.378
ThD30	T:Gaslight	1939	D:Dickinson	2005-07-08 11:56:46.981	2005-07-08 12:56:29.562
ThD35	T:The Prime Minister	1941	D:Dickinson	2005-07-08 07:22:40.062	2005-07-08 08:35:19.522
ThD36	T:Next of Kin	1941	D:Dickinson	2005-07-08 08:33:17.204	2005-07-08 09:53:39.502
ThD40	T:Men of Two Worlds	1945	D:Dickinson	2005-07-07 15:53:14.422	2005-07-07 16:04:23.031
ThD50	T:The Secret People	1952	D:Dickinson	2005-07-08 03:42:29.997	2005-07-08 04:53:38.56
WW12	T:Hell's Heroes	1929	D:Wyler	2005-07-07 19:52:35.71	2005-07-07 21:19:33.352
WW23	T:A House Divided	1931	D:Wyler	2005-07-08 05:17:04.527	2005-07-08 05:47:27.425
WW30	T:Counsellor at Law	1933	D:Wyler	2005-07-07 18:43:21.972	2005-07-07 19:31:16.69
WW41	T:These Three	1936	D:Wyler	2005-07-08 11:10:32.901	2005-07-08 12:23:43.671
WW42	T:Dodsworth	1936	D:Wyler	2005-07-07 18:38:50.223	2005-07-07 19:34:23.451
WW43	T:Dead End	1937	D:Wyler	2005-07-08 03:28:52.296	2005-07-08 04:10:14.394
WW44	T:Jezebel	1938	D:Wyler	2005-07-08 07:08:20.019	2005-07-08 07:18:41.013
WW45	T:Wuthering Heights	1939	D:Wyler	2005-07-07 16:33:55.586	2005-07-07 16:52:52.691
WW46	T:The Letter	1940	D:Wyler	2005-07-08 11:52:38.015	2005-07-08 12:57:04.659
WW47	T:The Westerner	1940	D:Wyler	2005-07-08 01:27:22.606	2005-07-08 01:59:52.528
WW48	T:The Little Foxes	1941	D:Wyler	2005-07-08 05:33:57.955	2005-07-08 05:55:14.28
WW60	T:The Memphis Belle	1944	D:Wyler	2005-07-08 12:14:32.244	2005-07-08 12:56:40.378
WW63	T:The Best Years of our Lives	1946	D:Wyler	2005-07-08 09:37:59.261	2005-07-08 09:49:55.908
WW65	T:Detective Story	1951	D:Wyler	2005-07-08 02:20:19.049	2005-07-08 03:16:32.295
WW66	T:Carrie	1952	D:Wyler	2005-07-07 17:05:18.256	2005-07-07 17:20:01.296
WW67	T:Roman Holiday	1953	D:Wyler	2005-07-08 07:01:45.473	2005-07-08 07:08:14.25
WW73	T:Desperate Hours	1955	D:Wyler	2005-07-08 15:04:39.158	2005-07-08 15:24:00.364
WW80	T:The Big Country	1958	D:Wyler	2005-07-08 01:12:56.882	2005-07-08 01:41:02.298
WW81	T:Ben Hur	1959	D:Wyler	2005-07-08 06:29:29.628	2005-07-08 07:51:26.2
WW85	T:Funny Girl	1968	D:Wyler	2005-07-07 22:34:37.998	2005-07-07 23:24:41.234
WW87	T:The Liberation of L.B. Jones	1970	D:Wyler	2005-07-07 23:46:13.422	2005-07-07 23:59:42.963
ACa40	T:Went the Day Well?	1942	D:Cavalcanti	2005-07-08 00:01:50.746	2005-07-08 00:07:31.93
ACa60	T:Nicholas Nickleby	1947	D:Cavalcanti	2005-07-08 03:35:34.247	2005-07-08 04:40:09.482
ACa95	T:Yerma	1962	D:Cavalcanti	2005-07-08 15:18:57.318	2005-07-08 16:11:06.708
AM15	T:Bordertown	1934	D:Mayo	2005-07-08 13:10:52.759	2005-07-08 14:21:20.673
AM18	T:The Petrified Forest	1936	D:Mayo	2005-07-08 01:06:31.373	2005-07-08 01:18:25.387
AM21	T:Black Legion	1937	D:Mayo	2005-07-07 17:38:31.599	2005-07-07 17:51:22.275
AM27	T:The House Across the Bay	1940	D:Mayo	2005-07-08 01:26:38.379	2005-07-08 02:04:36.923
AM29	T:Charley's Aunt	1941	D:Mayo	2005-07-07 17:31:26.252	2005-07-07 17:36:07.049
AM31	T:Orchestra Wives	1942	D:Mayo	2005-07-08 07:57:14.358	2005-07-08 07:58:38.144
AM35	T:A Night in Casablanca	1945	D:Mayo	2005-07-08 11:42:28.382	2005-07-08 12:56:37.613
AM36	T:Angel On My Shoulder	1946	D:Mayo	2005-07-08 13:20:28.186	2005-07-08 13:57:12.896
ASR15	T:Carnival Boat	1926	D:Rogell	2005-07-07 19:56:54.932	2005-07-07 21:18:01.164
ASR40	T:The Black Cat	1941	D:Rogell	2005-07-08 00:26:45.621	2005-07-08 00:50:27.896
EBS30	T:The Four Feathers	1929	D:Schoedsack	2005-07-08 00:36:37.414	2005-07-08 01:37:50.877
EBS50	T:King Kong	1933	D:Schoedsack	2005-07-08 10:47:55.18	2005-07-08 11:43:00.232
EBS60	T:Son of Kong	1934	D:Schoedsack	2005-07-08 11:25:06.271	2005-07-08 11:48:19.54
FC15	T:Rain or Shine	1931	D:Capra	2005-07-08 01:34:51.048	2005-07-08 02:16:31.517
FC17	T:The Miracle Woman	1931	D:Capra	2005-07-07 22:40:48.581	2005-07-07 23:47:02.645
FC22	T:American Madness	1932	D:Capra	2005-07-07 17:29:59.089	2005-07-07 18:55:19.906
FC23	T:The Bitter Tea of General Yen	1933	D:Capra	2005-07-08 01:52:17.797	2005-07-08 03:05:30.328
FC24	T:Lady For a Day	1933	D:Capra	2005-07-08 01:13:14.149	2005-07-08 02:03:31.686
FC25	T:It Happened One Night	1934	D:Capra	2005-07-08 02:38:59.136	2005-07-08 03:04:59.265
FC26	T:Mr.~Deeds Goes to Town	1936	D:Capra	2005-07-08 02:59:58.292	2005-07-08 03:23:03.691
