filmid	title	year	director
ThD36	T:Next of Kin	1941	D:Dickinson
ThD40	T:Men of Two Worlds	1945	D:Dickinson
ThD50	T:The Secret People	1952	D:Dickinson
WW12	T:Hell's Heroes	1929	D:Wyler
WW23	T:A House Divided	1931	D:Wyler
WW30	T:Counsellor at Law	1933	D:Wyler
WW41	T:These Three	1936	D:Wyler
WW42	T:Dodsworth	1936	D:Wyler
WW43	T:Dead End	1937	D:Wyler
WW44	T:Jezebel	1938	D:Wyler
WW45	T:Wuthering Heights	1939	D:Wyler
WW46	T:The Letter	1940	D:Wyler
WW47	T:The Westerner	1940	D:Wyler
WW48	T:The Little Foxes	1941	D:Wyler
WW60	T:The Memphis Belle	1944	D:Wyler
WW63	T:The Best Years of our Lives	1946	D:Wyler
WW65	T:Detective Story	1951	D:Wyler
WW66	T:Carrie	1952	D:Wyler
WW67	T:Roman Holiday	1953	D:Wyler
WW73	T:Desperate Hours	1955	D:Wyler
WW80	T:The Big Country	1958	D:Wyler
WW81	T:Ben Hur	1959	D:Wyler
WW85	T:Funny Girl	1968	D:Wyler
WW87	T:The Liberation of L.B. Jones	1970	D:Wyler
ACa40	T:Went the Day Well?	1942	D:Cavalcanti
ACa60	T:Nicholas Nickleby	1947	D:Cavalcanti
ACa95	T:Yerma	1962	D:Cavalcanti
AM15	T:Bordertown	1934	D:Mayo
AM18	T:The Petrified Forest	1936	D:Mayo
AM21	T:Black Legion	1937	D:Mayo
AM27	T:The House Across the Bay	1940	D:Mayo
AM29	T:Charley's Aunt	1941	D:Mayo
AM31	T:Orchestra Wives	1942	D:Mayo
AM35	T:A Night in Casablanca	1945	D:Mayo
AM36	T:Angel On My Shoulder	1946	D:Mayo
ASR15	T:Carnival Boat	1926	D:Rogell
ASR40	T:The Black Cat	1941	D:Rogell
EBS30	T:The Four Feathers	1929	D:Schoedsack
EBS50	T:King Kong	1933	D:Schoedsack
EBS60	T:Son of Kong	1934	D:Schoedsack
FC15	T:Rain or Shine	1931	D:Capra
FC17	T:The Miracle Woman	1931	D:Capra
FC22	T:American Madness	1932	D:Capra
FC23	T:The Bitter Tea of General Yen	1933	D:Capra
FC24	T:Lady For a Day	1933	D:Capra
FC25	T:It Happened One Night	1934	D:Capra
FC26	T:Mr.~Deeds Goes to Town	1936	D:Capra
FC27	T:Lost Horizon	1937	D:Capra
FC28	T:You Can't Take It With You	1938	D:Capra
FC29	T:Mr.~Smith goes to Washington	1939	D:Capra
FC34	T:Arsenic and Old Lace	1944	D:Capra
FC35	T:It's a Wonderful Life	1946	D:Capra
FC36	T:State of the Union	1948	D:Capra
FC38	T:A Hole in the Head	1959	D:Capra
FC40	T:A Pocketful of Miracles	1961	D:Capra
Gmy25	T:Extase	1933	D:Machaty
Gmy35	T:Within the Law	1939	D:Machaty
GMy45	T:Jealousy	1945	D:Machaty
HH9	T:Dawn Patrol	1930	D:Hawks
HH12	T:Scarface	1932	D:Hawks
HH13	T:Tiger Shark	1932	D:Hawks
HH14	T:Today We Live	1933	D:Hawks
HH15	T:Twentieth Century	1934	D:Hawks
HH22	T:Only Angels Have Wings	1939	D:Hawks
HH23	T:His Girl Friday	1940	D:Hawks
HH25	T:Ball of Fire	1944	D:Hawks
HH27	T:To Have and Have Not	1944	D:Hawks
HH28	T:The Big Sleep	1946	D:Hawks
HH29	T:A Song is Born	1948	D:Hawks
HH30	T:Red River	1948	D:Hawks
HH31	T:I Was A Male War Bride	1949	D:Hawks
HH34	T:Gentlemen Prefer Blondes	1953	D:Hawks
HH37	T:Hatari!	1961	D:Hawks
LlB21	T:Moby Dick	1930	D:Bacon
LlB35	T:Footlight Parade	1933	D:Bacon
LlB40	T:Wonder Bar	1934	D:Bacon
LlB50	T:The Goldiggers of 1937	1937	D:Bacon
LlB53	T:Marked Woman	1937	D:Bacon
LlB55	T:San Quentin	1937	D:Bacon
LlB57	T:A Slight Case of Murder	1938	D:Bacon
LlB61	T:Wings of the Navy	1939	D:Bacon
LlB64	T:Invisible Stripes	1939	D:Bacon
LlB67	T:Knut Rockne --- All-American	1940	D:Bacon
LlB68	T:Brother Orchid	1940	D:Bacon
LlB83	T:Wake Up and Dream	1946	D:Bacon
LlB90	T:Miss Grant Takes Richmond	1950	D:Bacon
LlB95	T:Golden Girl	1951	D:Bacon
LlB97	T:She Couldn't Say No	1952	D:Bacon
LlB100	T:The French Line	1954	D:Bacon
RVL10	T:The Count of Monte Christo	1934	D:R.V.Lee
RVL14	T:The Three Musketeers	1935	D:R.V.Lee
RVL16	T:Love From A Stranger	1936	D:R.V.Lee
RVL17	T:The Toast of New York	1937	D:R.V.Lee
RVL25	T:Mother Carey's Chickens	1938	D:R.V.Lee
RVL28	T:The Son of Frankenstein	1939	D:R.V.Lee
RVL30	T:Tower of London	1939	D:R.V.Lee
RVL32	T:The Son of Monte Christo	1941	D:R.V.Lee
RyT55	T:The Spider's Web	1938	D:Ray~Taylor
WlD5	T:The Last Flight	1931	D:Dieterle
WlD6	T:Ihre Majestaet Befehlt	1931	D:Dieterle
WlD7	T:La majeste demande	1931	D:Dieterle
WlD8	T:Her Majesty Love	1931	D:Dieterle
WlD9	T:Satan meets a Lady	#	D:Dieterle
WlD10	T:Lawyer Man	1932	D:Dieterle
WlD15	T:Adorable	1933	D:Dieterle
WlD18	T:Firebird	1934	D:Dieterle
WlD19	T:Fog Over Frisco	1934	D:Dieterle
WlD20	T:Madame du Barry	1934	D:Dieterle
WlD24	T:A Midsummernight's Dream	1935	D:Dieterle
WlD25	T:The Story of Louis Pasteur	1935	D:Dieterle
WlD29	T:Satan Met A Lady	1936	D:Dieterle
WlD34	T:Blockade	1938	D:Dieterle
WlD35	Tm:Juarez	1939	D:Dieterle
WlD36	T:The Hunchback of Notre Dame	1939	D:Dieterle
WlD37	T:Dr.~Ehrlich's Magic Bullet	1940	D:Dieterle
WlD38	T:A Dispatch from Reuters	1940	D:Dieterle
WlD39	T:All That Money Can Buy	1941	D:Dieterle
WlD43	T:I'll Be Seeing You	1944	D:Dieterle
WlD49	T:Portrait of Jennie	1948	D:Dieterle
WlD51	T:Rope of Sand	1949	D:Dieterle
WlD53	T:Dark City	1950	D:Dieterle
WlD58	T:The Turning Point	1952	D:Dieterle
WlD61	T:Elephant Walk	1954	D:Dieterle
WlD65	T:Magic Fire	1956	D:Dieterle
Z5510	T:Mademoiselle from Armentieres	1926	D:Unknown55
Z5512	T:Lili Marlene	1927	D:Unknown55
BuB10	T:Moskow In October	1927	D:Barret
ByH5	T:I Walk Alone	1947	D:Haskin
ByH8	T:Treasure Island	1950	D:Haskin
ByH10	T:Tarzan's Peril	1951	D:Haskin
ByH13	Tm:War of the Worlds	1953	D:Haskin
ByH15	T:The Naked Jungle	1954	D:Haskin
CBm60	T:Movie Crazy	1932	D:Bruckman
DaB3	T:Sunny Side Up	1929	D:D.Butler
DaB4	T:Just Imagine	1930	D:D.Butler
DaB8	T:The Littlest Rebel	1935	D:Butler
DaB11	T:Captain January	1936	D:Butler
DaB13	T:You're a Sweetheart	1937	D:Butler
DaB17	T:Playmates	1941	D:D.Butler
DaB19	T:Road to Morocco	1942	D:D.Butler
DaB20	T:They Got Me Covered	1943	D:D.Butler
DaB21	T:Thank Your Lucky Stars	1943	D:D.Butler
DaB23	T:Two Guys From Milwaukee	1946	D:D.Butler
DaB28	T:Tea for Two	1950	D:D.Butler
DaB29	T:The Daughter of Rosie O'Grady	1950	D:D.Butler
DaB30	T:Painting the Clouds with Sunshine	1951	D:D.Butler
DaB31	T:Lullaby of Broadway	1951	D:D.Butler
DaB32	T:April in Paris	1952	D:D.Butler
DaB33	T:Where's Charley?	1952	D:D.Butler
DAz5	T:The Wild Party	1929	D:Arzner
DAz6	T:Sarah and Son	1930	D:Arzner
DAz17	T:Merrily We Go to Hell	1932	D:Arzner
DAz21	T:Christopher Strong	1933	D:Arzner
DAz23	T:Nana	1934	D:Arzner
DAz27	T:Craig's Wife	1936	D:Arzner
DAz35	T:Dance Girl Dance	1940	D:Arzner
DMD25	T:Desert Victory	1943	D:D.MacDonald
DMD35	T:The Brothers	1947	D:D.MacDonald
DMD40	T:Christopher Columbus	1949	D:D.MacDonald
DMD50	T:The Moonraker	1958	D:D.MacDonald
FTu10	T:True to the Navy	1930	D:Tuttle
FTu19	T:The Big Broadcast	1933	D:Tuttle
FTu20	T:Roman Scandals	1933	D:Tuttle
Ftu23	T:Here Is My Heart	1934	D:Tuttle
Ftu25	T:The Glass Key	1935	D:Tuttle
FTu40	T:True to the Army	1940	Tuttle?
FTu50	T:This Gun for Hire	1942	D:Tuttle
FTu60	T:Don Juan Quilligan	1955	D:Tuttle
HDA6	T:Laughter	1930	D:DArrast
HDA7	T:Topaze	1933	D:DArrast
HoB50	T:The Trap	1947	D:Bretherton
JTg4	T:Charlie Chan in Shanghai	1935	D:Tinling
JTg5	T:Under the Pampas Moon	1935	D:Tinling
JTg7	T:Mr.~Moto's Gamble	1938	D:Tinling
LoM2	T:The Marriage Playground	1929	D:Mendes
LoM6	T:Payment Deferred	1932	D:Mendes
LoM10	T:Jew Suss	1934	D:Mendes
LoM12	T:The Man Who Could Work Miracles	1936	D:Mendes
LoM17	T:The International Squadron	1941	D:Mendes
LoM20	T:Flight for Freedom	1943	D:Mendes
LvK10	T:The Journalist	1927	D:Kuleshov
LwS130	T:Charlie Chan in Paris	1935	D:Seiler
LwS160	T:You Can't Get Away With Murder	1939	D:Seiler
LwS166	T:It All Came True	1940	D:Seiler
LwS180	T:Pittsburgh	1942	D:Seiler
LwS190	T:Something for the Boys	1944	D:Seiler
MLR4	T:Little Caesar	1930	D:M.LeRoy
MLR7	T:Three on A Match	1932	D:M.LeRoy
MLR8	T:I am Fugitive from a Chain Gang	1932	D:M.LeRoy
MLR12	T:Three on a Match	1933	D:M.LeRoy
MLR14	T:Gold Diggers of 1933	1933	D:M.LeRoy
MLR16	T:I Found Stella Parrish	1935	D:M.LeRoy
MLR17	T:Oil For The Lamps of China	1935	D:M.LeRoy
MLR18	T:Anthony Adverse	1936	D:M.LeRoy
MLR22	T:Waterloo Bridge	1940	D:M.LeRoy
MLR23	T:Escape	1940	D:M.LeRoy
MLR27	T:Random Harvest	1942	D:M.LeRoy
MLR29	T:Thirty Seconds over Tokyo	1944	D:M.LeRoy
MLR30	Tm:Without Reservations	1946	D:M.LeRoy
MLR31	T:Desire Me	1947	D:M.LeRoy
MLR32	T:Little Women	1949	D:M.LeRoy
MLR35	T:Quo Vadis	1951	D:M.LeRoy
MLR40	T:Lovely To Look At	1952	D:M.LeRoy
MLR43	T:The Bad Seed	1956	D:M.LeRoy
MLR50	T:The Devil at Four o'clock	1960	D:M.LeRoy
RFl3	T:The Battle of Paris	1929	D:Florey
RFl10	T:One Hour of Love	1929	D:Florey
RFl20	T:Murders in the Rue Morgue	1932	D:Florey
RFl28	T:The Raven	1935	D:Florey
RFl30	T:The Woman in Red	1935	D:Florey
RFl33	Tm:Hollywood Boulevard	1936	D:Florey
RFl40	T:The Magnificent Fraud	1939	D:Florey
RFl48	T:Flesh and Fantasy	1943	D:Florey
RFl50	T:God is my Co-Pilot	1944	D:Florey
RFl60	T:The Beast with Five Fingers	1946	D:Florey
RFl70	T:Monsieur Verdoux	1947	D:Florey
RFl75	T:Tarzan and the Mermaids	1948	D:Florey
REn6	T:Dames	1934	D:Enright
REn18	T:China Clipper	1936	D:Enright
REn20	T:Earthworm Tractors	1936	D:Enright
REn30	T:The Singing Marine	1937	D:Enright
REn32	T:Slim	1937	D:Enright
REn45	T:Angels Wash Their Faces	1939	D:Enright
REn50	T:Law of the Tropics	1941	D:Enright
REn53	T:The Spoilers	1942	D:Enright
REn55	T:The Iron Major	1943	D:Enright
REn60	T:Man Alive	1945	D:Enright
RWa12	T:Seven Days Leave	1929	D:Ri.Wallace
RWa50	T:Young at Heart	1938	D:Ri.Wallace
RWa65	T:A Girl, a Guy, and a Gob	1941	D:Ri.Wallace
RWa72	T:A Night to Remember	1943	D:Ri.Wallace
RWa90	T:Sinbad the Sailor	1946	D:Ri.Wallace
RZL5	T:The Divorcee	1930	D:Leonard
RZL15	T:Susan Lenox, Her Fall and Rise	1931	D:Leonard
RZL17	T:Dancing Lady	1932	D:Leonard
RZL19	T:Riff Raff	1935	D:Leonard
RZL20	T:The Great Ziegfeld	1936	D:Leonard
RZL22	T:The Firefly	1937	D:Leonard
RZL24	T:The Girl of the Golden West	1938	D:Leonard
RZL25	T:New Moon	1940	D:Leonard
RZL26	T:Pride and Prejudice	1940	D:Leonard
RZL28	T:Ziegfeld Girl	1942	D:Leonard
RZL31	T:Weekend at the Waldorf	1945	D:Leonard
RZL39	T:The Duchess of Idaho	1950	D:Leonard
VrS20	T:Woman to Woman	1929	D:V.Saville
VrS24	T:I was A Spy	1933	D:V.Saville
VrS25	T:Friday the Thirteenth	1933	D:V.Saville
VrS26	T:Evergreen	1934	D:V.Saville
VrS27	T:The Iron Duke	1936	D:V.Saville
VrS28	T:Dark Journey	1937	D:V.Saville
VrS29	T:South Riding	1938	D:V.Saville
VrS30	T:Tonight and Every Night	1944	D:V.Saville
VrS31	T:The Green Years	1946	D:V.Saville
VrS32	T:If Winter Comes	1947	D:V.Saville
VrS34	T:The Long Wait	1954	D:V.Saville
VrS40	T:Evergreen	1934	D:V.Saville
WLa14	T:Wife, Doctor, and Nurse	1937	D:W.Lang
WLa18	Tm:The Little Princess	1939	D:W.Lang
WLa20	T:Star Dust	1940	D:W.Lang
WLa21	T:The Great Profile	1940	D:W.Lang
WLa22	T:Tin Pan Alley	1940	D:W.Lang
WLa23	T:Moon over Miami	1941	D:W.Lang
WLa24	T:Weekend in Havana	1941	D:W.Lang
WLa27	T:Coney Island	1943	D:W.Lang
WLa29	T:State Fair	1945	D:W.Lang
WLa38	T:On The Riviera	1951	D:W.Lang
WLa41	T:There's no Business like Show Business	1954	D:W.Lang
WLa42	T:The King and I	1956	D:W.Lang
WLa43	T:The Desk Set	1957	D:W.Lang
WLa45	T:Can Can	1960	D:W.Lang
WLa50	T:Snowwhite and the Three Stooges	1961	D:W.Lang
YOz7	T:Thi Night's Wife	1930	D:Ozu
YOz8	T:I Flunked, But ...	1930	D:Ozu
YOz9	T:Walk Cheerfully	1930	D:Ozu
YOz10	T:The Lady and the Beard	1931	D:Ozu
YOz11	T:Chorus of Tokyo	1931	D:Ozu
YOz12	T:I Was Born, But ...	1932	D:Ozu
YOz16	T:Passing Fancy	1933	D:Ozu
YOz18	T:A Mother should be Loved	1934	D:Ozu
YOz22	T:An Inn in Tokyo	1935	D:Ozu
YOz40	T:Late Spring	1949	D:Ozu
YOz45	T:Early Summer	1951	D:Ozu
YOz50	T:The Flavor of Green Tea Over Rice	1952	D:Ozu
YOz55	T:Tokyo Monogatari	1953	D:Dr{Ozu
YOz65	T:Early Spring	1956	D:Ozu
YOz85	T:Late Autumn	1961	D:Ozu
YOz95	T:Early Autumn	1962	D:Ozu
AA13	T:Pygmalion	1938	D:Asquith
AA14	T:French Without Tears	1939	D:Asquith
AA16	T:Quiet Wedding	1940	D:Asquith
AA29	T:The Importance of Being Earnest	1951	D:Asquith
AA37	T:Libel	1960	D:Asquith
AA38	T:The Millionairess	1961	D:Asquith
AA41	T:The VIPs	1963	D:Asquith
FeF8	T:George White's Scandals	1945	D:Feist
FeF85	T:Donovan's Brain	1953	D:Feist
HLa35	T:Charlie Chan at the Circus	1936	D:Lachman
HLaD55	T:Murder over New York	1940	D:Lachman
HLa60	T:Dead Men Tell	1941	D:Lachman
HLa65	T:Charlie Chan in Rio	1941	D:Lachman
HLa75	T:Castle in the Desert	1942	D:Lachman
LB27	T:Simon of the Desert	1965	D:Bunuel
LB30	T:La Voie Lact\'ee	1968	D:Bunuel
LB32	T:Tristana	1970	D:Bunuel
LB33	T:The Discreet Charm of the Bourgeousie	1972	D:Bunuel
LB34	T:Le Fantome de la Liberte	1974	D:Bunuel
LuH10	T:Mysterious Island	1929	D:Hubbard
NT55	T:The Adventures of Tom Sawyer	1938	D:Taurog
NT75	T:Young Tom Edison	1940	D:Taurog
NT110	T:Living it Up	1954	D:Taurog
NT120	T:Bundle of Joy	1957	D:Taurog
NT127	Tm:Blue Hawaii	1961	D:Taurog
RTh35	T:The Prisoner of Zenda	1953	D:R.Thorpe
RTh37	T:Ivanhoe	1953	D:R.Thorpe
RTh40	T:Knights of the Round Table	1954	D:R.Thorpe
RTh42	T:The Student Prince	1954	D:R.Thorpe
TG32	T:A Connecticut Yankee in King Arthur's Court	1949	D:Garnett
TG39	T:The Black Knight	1954	D:Garnett
WD101	T:Snow White and the Seven Dwarfs	1937	D:Disney
WD102	T:Pinocchio	1939	D:Disney
WD103	T:Fantasia	1940	D:Disney
WD105	T:The Three Caballeros	1945	D:Disney
AD30	T:Ivan	1932	D:Dovzhenko
AD50	T:Life in Blossom	1947	D:Dovzhenko
RdR10	T:Gold Diggers of Broadway	1929	D:delRuth
RdR76	T:Stop! You're Killing Me	1952	D:delRuth
RdR80	T:Phantom of the Rue Morgue	1954	D:delRuth
RM3	T:Dr.~Jekyll and Mr.~Hyde	1932	D:Mamoulian
RM--	T:Oklahoma	1934	D:Mamoulian
RM8	T:Becky Sharp	1935	D:Mamoulian
