FILMID	TITLE	ACTOR	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
AJG50	T:A Chump at Oxford	Peter Cushing	2005-07-08 00:02:29.736	2005-07-08 01:03:15.089
AJo10	T:Love Letters	Matt Clark	2005-07-07 18:02:00.626	2005-07-07 19:30:06.815
AJo10	T:Love Letters	Bonnie Bartlett	2005-07-08 09:33:20.787	2005-07-08 10:56:38.44
AJo10	T:Love Letters	Amy Madigan	2005-07-07 16:21:51.242	2005-07-07 17:49:28.959
AJP1	T:Klute	Anthony Holland	2005-07-07 15:55:33.092	2005-07-07 16:14:01.779
AJP2	TZ:The Parallax View	Paula Prentiss	2005-07-08 14:06:52.688	2005-07-08 15:34:03.628
AJP3	T:All the President's Men	Martin Balsam	2005-07-08 04:15:03.126	2005-07-08 05:26:57.573
AJP3	T:All the President's Men	Meredith Baxter	2005-07-08 09:40:15.481	2005-07-08 09:40:16.179
AJP7	TZ:Sophie's Choice	Peter MacNicol	2005-07-08 13:26:42.651	2005-07-08 14:52:04.544
AJP15	T:Presumed Innocent	Bradley Whitford	2005-07-08 10:58:44.345	2005-07-08 12:15:07.856
AJP29	T:The Devil's Own	Natascha McElhone	2005-07-08 15:18:27.602	2005-07-08 15:45:25.173
AJP29	T:The Devil's Own	Ashley Ohara	2005-07-07 17:42:50.123	2005-07-07 18:41:38.54
AJs1	T:The Noose	Lina Basquette	2005-07-08 13:23:44.421	2005-07-08 13:47:42.429
AKa5	T:Ariel	Matti Pellonpaa	2005-07-08 08:22:07.325	2005-07-08 09:02:12.918
AKa20	T:La Vie de Boh\`eme	Matti Pellon\"a\"A	2005-07-07 21:57:19.042	2005-07-07 22:00:12.382
AKj13	T:A Tangled Web	Barry Morse	2005-07-07 21:23:08.764	2005-07-07 22:26:51.947
AkS10	T:The Slingshot	Niklas Odlund	2005-07-08 00:18:19.7	2005-07-08 01:18:52.571
AKu10	TZ:Terror in the Aisles	Nancy Allen	2005-07-07 21:31:35.255	2005-07-07 22:19:44.409
AL10	T:Tovarich	Basil Rathbone	2005-07-08 12:25:32.189	2005-07-08 13:24:08.026
AL10	T:Tovarich	Anita Louise	2005-07-07 16:12:43.858	2005-07-07 16:24:39.163
AL10	T:Tovarich	Melville Cooper	2005-07-08 10:51:45.49	2005-07-08 11:47:46.678
AL10	T:Tovarich	Maurice Murphy	2005-07-07 22:10:37.802	2005-07-07 23:20:06.713
AL11	T:The Amazing Dr.Clitterhouse	Allen Jenkins	2005-07-08 01:17:57.587	2005-07-08 01:40:06.281
AL12	T:All This and Heaven Too	Walter Hampden	2005-07-08 01:16:28.895	2005-07-08 02:30:21.432
AL12	T:All This and Heaven Too	Montagu Love	2005-07-08 01:09:17.273	2005-07-08 01:31:18.26
AL13	T:Castle on the Hudson	Pat OBrien	2005-07-08 05:11:29.355	2005-07-08 06:37:05.33
AL13	T:Castle on the Hudson	Ann Sheridan	2005-07-08 08:27:04.084	2005-07-08 09:45:55.306
AL16	T:City for Conquest	Ann Sheridan	2005-07-07 22:52:52.209	2005-07-08 00:01:16.982
AL16	T:City for Conquest	Arthur Kennedy	2005-07-07 23:29:47.725	2005-07-08 00:18:49.248
AL16	T:City for Conquest	Anthony Quinn	2005-07-07 19:30:51.05	2005-07-07 20:26:56.949
AL21	T:Sorry Wrong Number	Barbara Stanwyk	2005-07-07 16:03:53.309	2005-07-07 17:14:16.488
AL21	T:Sorry Wrong Number	Ann Richards	2005-07-08 08:44:18.894	2005-07-08 09:18:53.736
AL22	T:The Snake Pit	Mark stevens	2005-07-07 18:01:59.564	2005-07-07 18:07:20.696
AL22	T:The Snake Pit	Beulah Bondi	2005-07-08 14:20:49.208	2005-07-08 15:35:48.976
AL22	T:The Snake Pit	Natalie Schafer	2005-07-08 07:22:08.577	2005-07-08 07:57:17.734
AL26	T:Anastasia	Martita Hunt	2005-07-07 20:44:41.158	2005-07-07 21:24:20.726
AL26	T:Anastasia	Akim Tamiroff	2005-07-08 04:00:44.626	2005-07-08 04:11:41.923
AL26	T:Anastasia	Natalie Schafer	2005-07-08 11:14:22.333	2005-07-08 11:55:21.667
AL27	T:The Journey	Anouk Aim\'ee	2005-07-07 21:23:40.026	2005-07-07 22:10:29.367
AlA10	T:Dracula vs. Frankenstein	Anthony Eisley	2005-07-08 13:04:39.754	2005-07-08 13:36:41.95
AlA50	TZ:Jessi's Girls	Regina Carrol	2005-07-08 02:20:06.248	2005-07-08 03:38:29.44
AlA50	TZ:Jessi's Girls	Ben Frank	2005-07-07 23:38:03.747	2005-07-08 01:04:58.024
AlB10	T:Dracula's Dog	Michael Pataki	2005-07-08 00:16:11.508	2005-07-08 01:37:09.226
AlC20	T:Tous Les Matins Du Monde	Anne Brochet	2005-07-08 09:06:43.788	2005-07-08 09:43:08.537
ALe1	T:The Moon and Sixpence	Albert Basserman	2005-07-08 09:36:55.66	2005-07-08 10:35:54.989
ALe2	T:The Picture of Dorian Gray	Lowell Gilmore	2005-07-08 12:51:49.366	2005-07-08 12:52:01.402
ALe2	T:The Picture of Dorian Gray	Peter Lawford	2005-07-07 22:07:11.373	2005-07-07 23:16:05.897
ALe4	T:Pandora and the Flying Dutchman	Ava Gardner	2005-07-08 07:17:42.529	2005-07-08 07:45:49.503
ALe4	T:Pandora and the Flying Dutchman	Nigel Patrick	2005-07-07 18:49:56.494	2005-07-07 19:44:38.723
ALe4	T:Pandora and the Flying Dutchman	Mario Cabre	2005-07-08 00:06:20.578	2005-07-08 01:11:51.786
ALe4	TZ:Pandora and the Flying Dutchman	Pamela Kellino	2005-07-08 14:19:15.541	2005-07-08 15:36:34.524
ALe4	T:Pandora and the Flying Dutchman	Marius Goring	2005-07-08 00:23:55.424	2005-07-08 01:16:53.12
ALe7	T:Saadia	Mel Ferrer	2005-07-08 15:31:45.229	2005-07-08 16:10:00.278
ALe7	T:Saadia	Michel Simon	2005-07-07 18:15:20.953	2005-07-07 18:38:31.626
ALe7	T:Saadia	Marcel Poncin	2005-07-08 06:26:17.407	2005-07-08 06:50:38.072
ALe7	T:Saadia	Peter Bull	2005-07-07 21:38:57.906	2005-07-07 22:42:10.247
AlG11	T:Dracula A.D. 1972	Peter Cushing	2005-07-08 00:19:47.363	2005-07-08 00:53:07.941
AlH8	TZ:Little Miss Marker	Lynne Overman	2005-07-08 01:59:54.242	2005-07-08 02:32:53.0
AlH8	TZ:Little Miss Marker	Willie Best	2005-07-07 20:26:25.311	2005-07-07 20:57:36.502
AlH21	T:The Doctor Takes a Wife	Reginald Gardiner	2005-07-08 10:30:34.611	2005-07-08 11:59:55.022
AlH24	T:Here Comes Mr.~Jordan	Benny Rubin	2005-07-07 21:36:17.625	2005-07-07 22:22:10.363
AlH30	T:Once Upon A Time	Art Baker	2005-07-07 17:36:07.616	2005-07-07 19:05:24.016
AlH38	T:Let's Do It Again	Aldo Ray	2005-07-07 17:50:18.147	2005-07-07 18:36:25.329
ALi10	TZ:Where the Buffalo Roam	Rene Auberjonois	2005-07-08 12:17:47.636	2005-07-08 13:41:38.53
ALi10	T:Where the Buffalo Roam	R.G. Armstrong	2005-07-07 21:22:27.111	2005-07-07 22:26:01.165
AlL3	T:Le ballon rouge	Pascal Lamorisse	2005-07-08 14:44:32.608	2005-07-08 15:23:23.55
AlP10	T:The Eyes of Youth	Pauline Starke	2005-07-08 12:27:37.388	2005-07-08 12:36:34.952
AlP10	T:The Eyes of Youth	Milton Sills	2005-07-08 11:02:49.464	2005-07-08 12:07:34.864
AlP50	T:Blind Man's Bluff	Barbara Greene	2005-07-07 16:59:04.455	2005-07-07 18:15:46.221
AlT10	T:Dual Alibi	Phyllis Dixey	2005-07-08 12:50:13.706	2005-07-08 13:24:32.771
ALv10	T:Vice Squad	Paulette Goddard	2005-07-08 07:48:36.128	2005-07-08 08:44:21.091
ALv10	T:Vice Squad	Porter Hall	2005-07-08 11:59:13.18	2005-07-08 13:27:59.503
ALv100	T:Decoy	Arnold Laven	2005-07-07 22:30:06.879	2005-07-07 23:19:55.131
ALv101	T:The Return of Verge Likens	Peter Fonda	2005-07-08 14:05:24.642	2005-07-08 15:30:41.408
AlW40	T:The House of Rothschild	Loretta Young	2005-07-07 20:46:57.972	2005-07-07 21:06:41.017
AlW40	T:The House of Rothschild	Boris Karloff	2005-07-08 08:09:39.161	2005-07-08 08:39:56.293
AlW40	T:The House of Rothschild	Alan Mowbray	2005-07-08 03:53:13.985	2005-07-08 05:21:14.403
AlW60	T:The Adventures of Sherlock Holmes	Basil Rathbone	2005-07-08 05:54:08.131	2005-07-08 06:05:06.59
AlW60	T:The Adventures of Sherlock Holmes	Alan Marshall	2005-07-08 14:48:42.02	2005-07-08 15:30:30.411
AlZ5	T:Sex Kittens go to College	Mijanou Bardot	2005-07-08 08:58:36.863	2005-07-08 10:02:50.818
AlZ5	T:Sex Kittens go to College	Mickey Shaughnessy	2005-07-08 13:23:58.82	2005-07-08 13:31:16.187
AlZ5	T:Sex Kittens go to College	Louis Nye	2005-07-08 09:14:17.156	2005-07-08 09:49:20.339
AM12	T:Ever in My Heart	Barbara Stanwyk	2005-07-08 01:42:00.823	2005-07-08 01:49:28.549
AM12	T:Ever in My Heart	Ralph Bellamy	2005-07-08 08:24:36.282	2005-07-08 09:29:44.258
AM18	T:The Petrified Forest	Bette Davis	2005-07-07 19:50:18.349	2005-07-07 20:00:00.231
AM18	T:The Petrified Forest	Porter Hall	2005-07-08 04:52:57.141	2005-07-08 06:08:32.578
AM18	T:The Petrified Forest	Paul Harvey	2005-07-08 10:33:23.005	2005-07-08 11:42:50.977
AML1	T:The Incredible Two-headed Monster	Pat Priest	2005-07-07 16:59:24.238	2005-07-07 17:06:31.021
ARw12	T:Somebody to Love	Anthony Quinn	2005-07-08 09:04:46.059	2005-07-08 10:22:13.848
ARw12	T:Somebody to Love	Quentin Tarantion	2005-07-07 21:09:20.224	2005-07-07 21:38:53.753
ASj15	T:Frenzy	Mai Zettering	2005-07-08 11:27:03.762	2005-07-08 12:04:29.413
BaL1	T:Strictly Ballroom	Peter Whitford	2005-07-07 16:01:25.212	2005-07-07 16:08:41.049
BaP10	T:Cool Breeze	Raymond StJacques	2005-07-08 10:06:12.883	2005-07-08 11:19:47.142
BaP10	T:Cool Breeze	Lincoln Kirkpatrick	2005-07-07 21:05:11.882	2005-07-07 22:09:56.979
BaS10	T:Sing, Bing, Sing	Bing Crosby	2005-07-08 01:24:27.034	2005-07-08 01:32:52.834
BB5	T:The Spider's Stratagem	Alida Valli	2005-07-08 04:37:26.749	2005-07-08 05:32:57.989
BB5	T:The Spider's Stratagem	Pino Campaninin	2005-07-08 02:10:23.05	2005-07-08 03:17:32.891
BB6	T:Il Conformista	Pierre Clementi	2005-07-08 04:50:33.649	2005-07-08 05:49:54.005
BB7	T:Last Tango in Paris	Maria Schneider	2005-07-07 16:40:38.085	2005-07-07 16:45:34.678
BB7	T:Last Tango in Paris	Massimo Girotti	2005-07-08 04:05:19.139	2005-07-08 04:45:28.54
BB7	T:Last Tango in Paris	Maria Michi	2005-07-07 16:13:45.305	2005-07-07 17:42:17.353
BB8	T:Novecento	Alida Valli	2005-07-07 18:42:05.517	2005-07-07 19:16:17.715
BB8	T:Novecento	M. Valli	2005-07-08 15:32:37.898	2005-07-08 16:16:14.793
BB9	T:Luna	Matthew Barry	2005-07-08 13:57:31.292	2005-07-08 14:17:43.609
BB10	T:Tragedy of a Ridiculous Man	Anouk Aimee	2005-07-08 10:26:27.128	2005-07-08 11:30:04.817
BB11	T:The Last Emperor	Peter OToole	2005-07-07 20:38:58.064	2005-07-07 21:51:39.082
BBe19	T:Babes on Broadway	Ray McDonald	2005-07-08 08:12:43.373	2005-07-08 09:02:56.977
BBe21	T:The Gang's All Here	Benny Goodman	2005-07-08 02:51:01.392	2005-07-08 03:33:42.752
BBe21	T:The Gang's All Here	Lillian Yarbo	2005-07-07 23:40:43.973	2005-07-07 23:42:51.388
BBe21	T:The Gang's All Here	Miriam Lavelle	2005-07-08 14:57:51.208	2005-07-08 15:12:49.926
BBe23	T:Take Me Out To The Ball Game	Betty Garrett	2005-07-08 13:05:24.474	2005-07-08 13:15:40.304
BBi10	TZ:North Avenue Irregulars	Barbara Harris	2005-07-08 13:43:20.16	2005-07-08 14:20:26.752
BBi10	T:North Avenue Irregulars	Michael Constantine	2005-07-08 05:31:00.363	2005-07-08 06:45:42.371
BBi10	T:North Avenue Irregulars	Patsy Kelly	2005-07-08 11:31:10.122	2005-07-08 12:35:27.947
BBi10	T:North Avenue Irregulars	Alan Hale~jr	2005-07-07 21:32:48.338	2005-07-07 21:46:43.761
BBl1	T:Breakdown	Bernard Blier	2005-07-07 15:36:37.783	2005-07-07 15:54:32.749
BBT10	T:All The Pretty Horses	Matt Damon	2005-07-08 07:23:04.66	2005-07-08 08:23:00.178
BCl4	T:Murder by Decree	Anthony Quayle	2005-07-07 15:49:47.568	2005-07-07 16:39:04.514
BCl10	TZ:A Christmas Story	Peter Billingsley	2005-07-08 11:32:55.521	2005-07-08 11:34:52.755
BCl10	TZ:A Christmas Story	Melinda Dillon	2005-07-07 20:00:50.457	2005-07-07 21:25:11.916
BCr10	T:Mr.~Saturday Night	Billy Crystal	2005-07-08 03:46:50.796	2005-07-08 05:08:26.763
BCr10	T:Mr.~Saturday Night	Mary Maya	2005-07-08 13:44:53.101	2005-07-08 15:02:29.949
BDC8	TZ:Galaxy of Terror	Ray Walston	2005-07-08 05:10:30.277	2005-07-08 06:31:02.63
BDH10	T:The Tenth Man	Aileen Marson	2005-07-07 22:04:41.873	2005-07-07 23:08:14.707
BDH30	T:Scrooge	Mervyn Johns	2005-07-07 17:23:31.451	2005-07-07 17:33:21.796
BDn2	T:Escape	Madeleine Carroll	2005-07-08 12:36:36.646	2005-07-08 13:06:10.998
BDn7	T:The Constant Nymph	Lyn Harding	2005-07-08 04:21:09.404	2005-07-08 05:25:39.601
BDn7	T:The Constant Nymph	Mary Clare	2005-07-08 00:55:42.744	2005-07-08 01:17:50.669
BDn13	T:Lorna Doone	Margaret Lockwood	2005-07-07 20:32:18.136	2005-07-07 21:02:27.619
BdP2	T:Hi, Mom!	Allan Garfield	2005-07-07 23:40:12.884	2005-07-08 00:38:40.996
BdP10	T:Phantom of the Paradise	Paul Williams	2005-07-08 05:51:37.604	2005-07-08 06:45:50.806
BdP11	T:Obsession	Patrick McNamara	2005-07-08 09:46:54.742	2005-07-08 11:03:24.222
BdP12	T:Carrie	Amy Irving	2005-07-08 14:25:02.714	2005-07-08 15:04:57.255
BdP12	T:Carrie	Nancy Allen	2005-07-07 23:42:10.69	2005-07-08 00:22:41.527
BdP14	T:Dressed to Kill	Angie Dickinson	2005-07-08 11:45:12.156	2005-07-08 12:59:34.202
BdP15	T:Blow Out	Nancy Allen	2005-07-08 02:43:38.921	2005-07-08 03:20:53.499
BdP16	T:Scarface	Mary Elizabeth Mastrantonio	2005-07-07 18:45:54.328	2005-07-07 19:27:09.014
BdP16	T:Scarface	Miriam Colon	2005-07-08 15:02:24.488	2005-07-08 16:28:48.394
BdP17	T:Body Double	Barbara Peckinpah	2005-07-08 10:31:46.907	2005-07-08 11:44:37.097
BdP18	T:Wise Guys	Ray Sharkey	2005-07-08 09:31:59.83	2005-07-08 09:53:34.85
BdP25	T:Raising Cain	Barton Heyman	2005-07-08 13:47:38.618	2005-07-08 14:27:52.968
BdP26	T:Carlito's Way	Penelope Ann Miller	2005-07-07 15:55:55.335	2005-07-07 16:32:01.742
BDu2	T:A Rage in Harlem	Badja Djola	2005-07-07 23:11:12.617	2005-07-08 00:12:08.197
BDu3	T:The Cemetery Club	Olympia Dukakis	2005-07-08 02:26:08.627	2005-07-08 03:45:29.008
BDu4	T:Sister Act 2	Brad Sullivan	2005-07-08 06:35:01.233	2005-07-08 06:43:48.695
BdY4	T:Inspector Clouseau	Patrick Cargill	2005-07-07 19:48:12.742	2005-07-07 20:25:08.817
BdY4	T:Inspector Clouseau	Beryl Reid	2005-07-08 02:00:34.576	2005-07-08 02:18:38.345
BdY4	T:Inspector Clouseau	Barry Foster	2005-07-07 18:28:14.915	2005-07-07 19:35:07.209
BdY6	T:The Thief Who Came to Dinner	Austin Pendleton	2005-07-08 07:20:47.981	2005-07-08 07:30:20.773
BE16	T:The Party	Peter Sellers	2005-07-07 17:09:56.374	2005-07-07 18:37:55.373
BE16	T:The Party	Marge Champion	2005-07-08 01:12:20.854	2005-07-08 02:04:15.583
BE19	TZ:Tamarind Seed	Omar Sharif	2005-07-08 04:29:49.236	2005-07-08 04:42:12.187
BE20	T:The Return of the Pink Panther	Peter Sellers	2005-07-07 20:55:55.602	2005-07-07 22:05:18.875
BE34	T:Victor/Victoria	Alex Karras	2005-07-07 15:38:12.542	2005-07-07 15:39:46.672
BE34	T:Victor/Victoria	Peter Arne	2005-07-07 21:14:18.153	2005-07-07 22:30:14.111
BE34	T:Victor/Victoria	Malcolm Jamieson	2005-07-07 23:44:36.428	2005-07-08 00:50:51.195
BE35	T:Trail of the Pink Panther	Peter Sellers	2005-07-08 04:19:52.377	2005-07-08 04:51:52.429
BeG10	TZ:Mahogany	Billy Dee Williams	2005-07-08 03:44:08.922	2005-07-08 04:52:59.848
BeH1	T:The Scoundrel	Noel Coward	2005-07-08 00:35:02.479	2005-07-08 01:14:00.489
BeH1	T:The Scoundrel	Alexander Wolcott	2005-07-08 07:42:04.043	2005-07-08 07:54:56.106
BeM10	T:Batman, Mask of The Phantasm	Mark Hamill	2005-07-07 16:44:56.796	2005-07-07 17:07:24.378
BF6	T:Cabaret	Michael York	2005-07-08 11:56:46.981	2005-07-08 12:56:29.562
BFo13	T:The Slipper and The Rose	Margaret Lockwood	2005-07-08 07:22:40.062	2005-07-08 08:35:19.522
BGi19	T:Blood Bargain	Ricard long	2005-07-08 08:33:17.204	2005-07-08 09:53:39.502
BGi19	T:Blood Bargain	Anne Francis	2005-07-07 15:53:14.422	2005-07-07 16:04:23.031
BGi21	T:Water's Edge	Ann Sothern	2005-07-08 03:42:29.997	2005-07-08 04:53:38.56
BHo10	T:Raggedy Rawney	Zoe Nathanson	2005-07-07 19:52:35.71	2005-07-07 21:19:33.352
BHu10	T:Forces of Nature	Maura Tierney	2005-07-08 05:17:04.527	2005-07-08 05:47:27.425
BHu10	T:Forces of Nature	Blythe Danner	2005-07-07 18:43:21.972	2005-07-07 19:31:16.69
BHu10	T:Forces of Nature	Meredith Scott Lynn	2005-07-08 11:10:32.901	2005-07-08 12:23:43.671
BiA5	T:The Best Intentions	Pernilla Ostergren	2005-07-07 18:38:50.223	2005-07-07 19:34:23.451
BiA5	T:The Best Intentions	Max vonSydow	2005-07-08 03:28:52.296	2005-07-08 04:10:14.394
BiA7	T:The House of Spirits	Armin MuellerStahl	2005-07-08 07:08:20.019	2005-07-08 07:18:41.013
BiA9	T:Jerusalem	Marie Bonnevie	2005-07-07 16:33:55.586	2005-07-07 16:52:52.691
BiF13	T:Local Hero	Peter Riegert	2005-07-08 11:52:38.015	2005-07-08 12:57:04.659
BiF13	T:Local Hero	Peter Capaldi	2005-07-08 01:27:22.606	2005-07-08 01:59:52.528
BiF20	T:Being Human	Anna Galiena	2005-07-08 05:33:57.955	2005-07-08 05:55:14.28
BIG10	TZ:The Mad Bomber	Neville Brand	2005-07-08 12:14:32.244	2005-07-08 12:56:40.378
BiK10	T:Ma Barker's Killer Brood	Myrna Dell	2005-07-08 09:37:59.261	2005-07-08 09:49:55.908
BiK10	T:Ma Barker's Killer Brood	Nelson Leigh	2005-07-08 02:20:19.049	2005-07-08 03:16:32.295
BiP10	TZ:Serial	Martin Mull	2005-07-07 17:05:18.256	2005-07-07 17:20:01.296
BiP10	TZ:Serial	Bill Macy	2005-07-08 07:01:45.473	2005-07-08 07:08:14.25
BJR10	T:My Life	Michael Keaton	2005-07-08 15:04:39.158	2005-07-08 15:24:00.364
BJR10	T:My Life	Michael Constantine	2005-07-08 01:12:56.882	2005-07-08 01:41:02.298
BKo10	T:Krakatoa, East of Java	Maximilian Schell	2005-07-08 06:29:29.628	2005-07-08 07:51:26.2
BKo10	T:Krakatoa, East of Java	Barbara Werle	2005-07-07 22:34:37.998	2005-07-07 23:24:41.234
BKo10	T:Krakatoa, East of Java	Marc Lawrence	2005-07-07 23:46:13.422	2005-07-07 23:59:42.963
BLe1	TZ:Diner	Mickey Rourke	2005-07-08 00:01:50.746	2005-07-08 00:07:31.93
BLe1	T:Diner	Paul Reiser	2005-07-08 03:35:34.247	2005-07-08 04:40:09.482
BLe4	TZ:The Natural	Barbara Hershey	2005-07-08 15:18:57.318	2005-07-08 16:11:06.708
BLe5	T:Tin Men	Richard Dreyfuss	2005-07-08 13:10:52.759	2005-07-08 14:21:20.673
BLe10	T:Avalon	Aidan Quinn	2005-07-08 01:06:31.373	2005-07-08 01:18:25.387
BLe10	T:Avalon	Lou Jacobi	2005-07-07 17:38:31.599	2005-07-07 17:51:22.275
BLe21	T:Wag the Dog	Rene Leahy	2005-07-08 01:26:38.379	2005-07-08 02:04:36.923
BLe22	T:Sphere	Peter Coyote	2005-07-07 17:31:26.252	2005-07-07 17:36:07.049
BLu10	T:Jam\'on, Jam\'on	Penelope Cruz	2005-07-08 07:57:14.358	2005-07-08 07:58:38.144
BLu12	T:Macho	Marbel Verdu	2005-07-08 11:42:28.382	2005-07-08 12:56:37.613
BLu12	T:Macho	Maria deMederios	2005-07-08 13:20:28.186	2005-07-08 13:57:12.896
BLw10	T:The Favor, the Watch, and the Very Big Fish	Bob Hoskins	2005-07-07 19:56:54.932	2005-07-07 21:18:01.164
BLw10	T:The Favor, the Watch, and the Very Big Fish	Michel Blanc	2005-07-08 00:26:45.621	2005-07-08 00:50:27.896
BMa10	TZ:Nighthawks	Lindsay Wagner	2005-07-08 00:36:37.414	2005-07-08 01:37:50.877
BMa10	TZ:Nighthawks	Billy Dee Williams	2005-07-08 10:47:55.18	2005-07-08 11:43:00.232
BMa10	TZ:Nighthawks	Persis Khambatta	2005-07-08 11:25:06.271	2005-07-08 11:48:19.54
BMa10	TZ:Nighthawks	Nigel Davenport	2005-07-08 01:34:51.048	2005-07-08 02:16:31.517
BMo10	T:The Puerto Rican Mambo (not a Musical)	Ben Model	2005-07-07 22:40:48.581	2005-07-07 23:47:02.645
BMo10	T:The Puerto Rican Mambo (not a Musical)	Luis Caballero	2005-07-07 17:29:59.089	2005-07-07 18:55:19.906
BnG12	T:Sweet Poison	Patricia Healey	2005-07-08 01:52:17.797	2005-07-08 03:05:30.328
BnM10	T:Nickle and Dime	Lise Cutter	2005-07-08 01:13:14.149	2005-07-08 02:03:31.686
BNu1	T:Camille Claudel	Alain Cuny	2005-07-08 02:38:59.136	2005-07-08 03:04:59.265
BNu1	T:Camille Claudel	Phillippe Clevenot	2005-07-08 02:59:58.292	2005-07-08 03:23:03.691
BNu1	T:Camille Claudel	Maxime Leroux	2005-07-08 05:58:36.012	2005-07-08 07:22:20.317
BoL10	T:Meatballs 4	Bojesse Christopher	2005-07-07 16:41:27.291	2005-07-07 16:45:22.355
BoS80	T:Rich Man, Poor Man	Peter Strauss	2005-07-08 12:58:46.888	2005-07-08 13:29:03.387
BoW6	T:Joe Hill	Anja Schmidt	2005-07-08 07:56:30.3	2005-07-08 08:57:28.492
BPr10	T:Anna Karenina	Alfred Molina	2005-07-07 20:00:15.777	2005-07-07 21:14:25.33
BRa10	T:Money Talks	Paul Sorvino	2005-07-08 03:16:24.822	2005-07-08 04:06:26.902
BRB3	T:Don's Party	Ray Barrett	2005-07-08 08:09:08.058	2005-07-08 09:28:23.979
BRB3	TZ:Don's Party	Pat Bishop	2005-07-07 21:52:29.798	2005-07-07 22:06:51.544
BrB10	T:Tender Mercies	Betty Buckley	2005-07-08 08:29:54.459	2005-07-08 09:00:54.705
